,logFC,AveExpr,t,P.Value,adj.P.Val,B
TSPAN6,-0.794561881,6.787851464,-8.521161582,2.26E-10,1.47E-07,13.5989209
SOX4,1.398590315,9.668646236,8.508201402,2.35E-10,1.52E-07,13.56202608
TIMP4,-1.752256037,6.597671094,-8.503198943,2.39E-10,1.52E-07,13.54777941
CDS1,-2.075827148,5.329978205,-8.466327098,2.67E-10,1.66E-07,13.44267222
HMOX1,-1.606525407,5.782188962,-8.415992931,3.10E-10,1.89E-07,13.29891026
STAB1,-1.352110377,9.776014396,-8.397444957,3.27E-10,1.98E-07,13.24585373
HNRNPA2B1,-1.147096696,6.614067972,-8.383556775,3.41E-10,2.03E-07,13.20609823
MTCH1,-1.032278122,8.968409134,-8.329671597,4.01E-10,2.34E-07,13.05162123
COL6A6,-1.634260143,8.018031535,-8.314362851,4.20E-10,2.41E-07,13.00766849
TRIM14,-1.397071748,6.109963044,-8.29636122,4.43E-10,2.51E-07,12.95594712
TPT1,-0.945727058,12.13216586,-8.288703658,4.54E-10,2.54E-07,12.93393367
CMC1,-0.953557383,7.54611913,-8.260329895,4.94E-10,2.75E-07,12.85230378
MYL12-AS1,1.760829393,8.040942766,8.224896177,5.50E-10,3.02E-07,12.75022433
TRDN-AS1,-1.261049768,4.971691521,-8.223487248,5.52E-10,3.02E-07,12.74616225
TUBA3E,-3.170066327,3.930753873,-8.170551668,6.48E-10,3.48E-07,12.59336927
MZT2B,-1.944419819,7.822907481,-8.168198671,6.52E-10,3.48E-07,12.58656975
LINC01844,-2.700258183,5.888123222,-8.166121694,6.56E-10,3.48E-07,12.58056729
TMEM184A,1.266331959,9.886311292,8.161217174,6.66E-10,3.51E-07,12.56639118
PSME2,-0.975872109,7.59766609,-8.148230655,6.93E-10,3.62E-07,12.52884081
S1PR3,-1.297152668,8.084570633,-8.140113915,7.10E-10,3.63E-07,12.50536109
ALOX5AP,-1.516085869,5.257744043,-8.094263324,8.15E-10,4.11E-07,12.37257935
PPIL1,-1.628525772,7.014056582,-8.068460656,8.82E-10,4.38E-07,12.29774628
RNASE6,-1.273166206,5.727903921,-8.032933944,9.82E-10,4.80E-07,12.19458358
DCLK2,0.97191434,8.913377319,8.017731621,1.03E-09,4.99E-07,12.15039399
IL6R,-0.943422383,8.00209317,-7.994356038,1.10E-09,5.29E-07,12.08239437
TIPARP,-1.093860652,7.970265456,-7.978026508,1.16E-09,5.52E-07,12.03485431
NDUFAB1,-0.903061823,11.16533474,-7.952895828,1.25E-09,5.79E-07,11.96163173
FGF7,-1.327836431,4.616617915,-7.944676259,1.28E-09,5.83E-07,11.93766693
GPD1L,-1.227249641,11.42078849,-7.905108569,1.45E-09,6.45E-07,11.82219687
FGF12-AS1,-2.838036675,4.613147205,-7.90491035,1.45E-09,6.45E-07,11.82161797
TIMM8B,-1.156371629,7.85868123,-7.903645897,1.45E-09,6.45E-07,11.81792498
DDAH1,1.769637809,9.132089942,7.895128324,1.49E-09,6.56E-07,11.79304368
SLA,-1.560732699,5.617687905,-7.885467119,1.54E-09,6.64E-07,11.76481178
CEP70,-1.611643166,6.759666432,-7.884771565,1.54E-09,6.64E-07,11.76277883
MYL12A,1.810221156,8.101894639,7.878095773,1.57E-09,6.70E-07,11.74326425
CDC42EP2,-1.098755661,7.200274134,-7.838487284,1.77E-09,7.37E-07,11.62737912
PLAU,-1.040387996,7.287474537,-7.817751724,1.89E-09,7.81E-07,11.56664248
TSPAN19,-1.303538681,7.864400615,-7.802110697,1.98E-09,8.02E-07,11.520797
LGMN,-1.077601738,9.731003601,-7.801355115,1.99E-09,8.02E-07,11.51858163
GLRX2,-0.734832644,7.802127325,-7.78721096,2.08E-09,8.32E-07,11.47709945
AZGP1,-2.028783875,8.924183382,-7.766481376,2.21E-09,8.82E-07,11.41626412
GNMT,-1.892019834,3.979650919,-7.763091454,2.23E-09,8.86E-07,11.40631125
VRK2,-1.236610785,6.710069883,-7.699322542,2.72E-09,1.05E-06,11.21885491
SIGLEC1,-1.731459446,7.485614073,-7.698779631,2.72E-09,1.05E-06,11.21725709
SPIDR,-1.41185099,7.007116514,-7.696831515,2.74E-09,1.05E-06,11.21152345
ARL4C,-1.169961215,6.662539568,-7.694408352,2.76E-09,1.06E-06,11.20439109
LAPTM4A,-0.890770251,11.289727,-7.67622264,2.92E-09,1.10E-06,11.15084339
SDCBP,-1.056808073,8.68710303,-7.673059743,2.94E-09,1.10E-06,11.14152671
TMEM38B,-0.748812515,9.757662545,-7.657933925,3.08E-09,1.14E-06,11.0969574
TOB2,-0.900934449,10.43213321,-7.65536946,3.11E-09,1.15E-06,11.08939865
FRY,1.198473528,6.06138352,7.629794555,3.36E-09,1.22E-06,11.01397935
HHATL,-0.981213185,11.32162843,-7.606093959,3.62E-09,1.30E-06,10.94402702
APCDD1,-1.450881355,5.136733165,-7.591591487,3.78E-09,1.34E-06,10.90119458
CHDH,-1.492231114,6.106426033,-7.589037611,3.81E-09,1.34E-06,10.8936496
MTA1,-1.577982247,5.076078268,-7.582249353,3.89E-09,1.36E-06,10.87359164
NDUFA5,-0.819021747,10.69214729,-7.569647124,4.05E-09,1.40E-06,10.83634217
KCNJ8,-1.05428054,9.971472852,-7.530099357,4.57E-09,1.55E-06,10.71934377
DCUN1D5,-0.74626157,7.886584064,-7.522243406,4.68E-09,1.58E-06,10.69608408
MAFG,1.51302111,7.465232808,7.511141169,4.85E-09,1.63E-06,10.66320246
TMBIM6,-0.811224173,11.34761747,-7.50138476,4.99E-09,1.66E-06,10.63429675
SNRNP25,-0.893230687,8.417790098,-7.490295068,5.17E-09,1.70E-06,10.60142952
APOBEC2,-0.98082985,10.53556787,-7.489318682,5.18E-09,1.70E-06,10.59853516
LINC00324,-1.750676912,5.622700149,-7.483837865,5.27E-09,1.72E-06,10.58228635
LIFR,-1.155872015,10.8069812,-7.457312243,5.72E-09,1.81E-06,10.50360534
HMOX2,-1.122764473,7.510305172,-7.44244247,5.99E-09,1.87E-06,10.4594685
FGL2,-1.07304764,9.147078472,-7.431063779,6.21E-09,1.92E-06,10.42567966
FAU,-1.001103894,9.852638408,-7.4258308,6.31E-09,1.94E-06,10.41013626
ETHE1,-0.924373789,6.090871614,-7.417287188,6.48E-09,1.99E-06,10.38475377
SLIRP,-0.811914852,9.60585012,-7.374434034,7.40E-09,2.24E-06,10.25733617
ST8SIA2,1.264789304,8.366786666,7.372142412,7.45E-09,2.24E-06,10.25051753
FCGRT,-0.897741431,8.374829053,-7.366607748,7.58E-09,2.27E-06,10.23404732
IDH2,-1.032556916,10.06657045,-7.333095074,8.41E-09,2.47E-06,10.13425907
MRPL50,-0.76472623,9.316078564,-7.332059298,8.43E-09,2.47E-06,10.13117328
PDGFRA,-1.424596809,9.82220381,-7.330943408,8.46E-09,2.47E-06,10.1278487
PPP1R1A,-1.099932856,8.740947096,-7.318601496,8.79E-09,2.54E-06,10.09107081
LINC00330,-1.875045085,3.241133682,-7.291980054,9.55E-09,2.71E-06,10.01169429
NT5DC1,-0.810047397,7.154819256,-7.287359956,9.69E-09,2.74E-06,9.997912191
FAIM2,-3.084096851,3.991721685,-7.284458174,9.78E-09,2.75E-06,9.989254986
GCAT,-1.056315146,8.22024899,-7.2838447,9.79E-09,2.75E-06,9.987424646
MARK3,-1.303850008,7.029505635,-7.281480147,9.87E-09,2.76E-06,9.980369532
PLCE1-AS1,1.559203252,5.119231217,7.278621319,9.95E-09,2.76E-06,9.971838986
C14orf132,1.7178652,9.120249155,7.266828658,1.03E-08,2.85E-06,9.936642862
RPS28,-0.946826899,9.360073167,-7.247694498,1.10E-08,2.97E-06,9.879509422
ASB18,1.544690275,6.709711595,7.24661471,1.10E-08,2.97E-06,9.876284287
GTPBP8,-0.740923496,7.743036039,-7.246203745,1.10E-08,2.97E-06,9.87505678
DCXR,-1.069799226,8.565030539,-7.243820425,1.11E-08,2.98E-06,9.867937782
IGLON5,1.643381104,5.671732651,7.227802045,1.17E-08,3.10E-06,9.820077932
GAMT,-0.832975441,8.497566135,-7.219462814,1.20E-08,3.17E-06,9.795153136
AAMDC,-0.927724305,8.080674432,-7.204352817,1.25E-08,3.30E-06,9.749976275
PRXL2A,-0.913851789,8.531827385,-7.198521291,1.28E-08,3.34E-06,9.732535589
HYAL2,-1.207308822,6.862616984,-7.197095335,1.28E-08,3.34E-06,9.728270458
ATP5F1E,-1.22551361,4.90995733,-7.195566937,1.29E-08,3.34E-06,9.723698727
MCAM,1.210538055,7.285708525,7.188036569,1.32E-08,3.40E-06,9.701171065
ATP5PO,-0.980943847,11.61905147,-7.18222449,1.34E-08,3.43E-06,9.683780524
FCN3,-2.44777874,4.793148243,-7.173159254,1.38E-08,3.52E-06,9.656650422
ADAMTS5,-1.890443618,8.141951727,-7.157613496,1.45E-08,3.66E-06,9.610109679
JDP2,-0.736310813,7.461988648,-7.150093262,1.48E-08,3.71E-06,9.587588476
IL10RA,-1.560057288,6.196130057,-7.144639131,1.51E-08,3.76E-06,9.571251811
DECR1,-0.734348203,11.53687168,-7.139805351,1.53E-08,3.80E-06,9.55677123
STXBP6,-1.432916702,6.899819926,-7.137757131,1.54E-08,3.81E-06,9.550634785
TMEM120A,-0.809965349,9.596153538,-7.131909826,1.57E-08,3.87E-06,9.533114441
SLC5A1,-1.257415355,11.14920222,-7.126088308,1.60E-08,3.90E-06,9.515668594
FARP1,1.929845563,9.174701239,7.117387319,1.64E-08,3.98E-06,9.489588452
BRINP1,2.487158869,4.78134396,7.114210518,1.66E-08,3.99E-06,9.480064855
RNF122,-0.898270939,7.769437359,-7.095470084,1.76E-08,4.18E-06,9.423867191
GFPT2,-1.60833656,6.576672074,-7.08831796,1.80E-08,4.24E-06,9.402412441
NCKAP1L,-1.09508305,7.084787114,-7.044044343,2.07E-08,4.78E-06,9.269512008
TGFBR3,-1.030070237,9.293168437,-7.040835118,2.09E-08,4.82E-06,9.259872639
RDH10,-0.820326512,7.926050861,-7.039037233,2.10E-08,4.83E-06,9.254472084
FPR3,-1.189859134,6.688735731,-7.037002116,2.11E-08,4.84E-06,9.248358626
ITGB1BP2,-0.800282193,9.391702361,-7.025746154,2.19E-08,5.00E-06,9.214540177
PPM1K,-1.429134418,9.598416936,-7.008070584,2.31E-08,5.25E-06,9.161414638
FAM219B,-1.343281555,8.008792564,-6.986011659,2.48E-08,5.53E-06,9.095081628
CHRDL2,-2.576055417,3.81169291,-6.979020331,2.53E-08,5.64E-06,9.07405059
SLITRK4,2.866871557,8.145163009,6.975408251,2.56E-08,5.66E-06,9.063183465
SRPRB,-0.659112369,8.257865353,-6.967077458,2.63E-08,5.77E-06,9.038116202
SLC15A2,-1.226195842,7.585847659,-6.963138003,2.66E-08,5.79E-06,9.026260664
PRDM16-DT,-1.472613718,5.946636416,-6.962255169,2.67E-08,5.79E-06,9.023603674
FCER1G,-1.297748102,6.298229706,-6.955340323,2.73E-08,5.90E-06,9.002790718
FMC1,-1.037231242,7.792082709,-6.951888441,2.76E-08,5.94E-06,8.992399622
VEGFD,-1.767084857,6.545906963,-6.948082969,2.79E-08,5.98E-06,8.98094313
NDUFA3,-0.803428558,9.334983256,-6.944781194,2.82E-08,6.01E-06,8.971002188
EIF3E,-0.78830946,11.54250154,-6.944403101,2.82E-08,6.01E-06,8.969863782
ACE2,2.275750495,10.70546943,6.938213977,2.88E-08,6.10E-06,8.951227379
PFKM,-0.82399451,12.74256755,-6.937449351,2.88E-08,6.10E-06,8.948924783
KIF13A,0.728831414,7.561453547,6.931832946,2.94E-08,6.17E-06,8.932010256
PCDH17,1.574267657,5.522639685,6.927754457,2.97E-08,6.21E-06,8.919725957
AIG1,-0.960100332,9.0695826,-6.924932562,3.00E-08,6.23E-06,8.911225795
BCKDHB,-0.858887033,8.862029017,-6.919791695,3.05E-08,6.31E-06,8.895738945
H4C4,-1.084578472,8.395407123,-6.912954639,3.11E-08,6.43E-06,8.875139453
TNFRSF21,-0.952729166,7.91038893,-6.900060717,3.24E-08,6.68E-06,8.836282237
CEP192,-0.874082228,9.384480282,-6.896213552,3.28E-08,6.74E-06,8.82468616
TTYH2,-0.872039667,8.183311662,-6.891302243,3.33E-08,6.82E-06,8.809881071
FGF12,-3.182600688,6.79224825,-6.883731184,3.41E-08,6.96E-06,8.787054955
MTURN,1.25956682,9.781489807,6.88295896,3.42E-08,6.96E-06,8.784726542
FBLN5,-1.766168134,6.356177974,-6.872057686,3.54E-08,7.16E-06,8.751852668
CLEC3B,-1.213105434,8.625466328,-6.867733685,3.59E-08,7.24E-06,8.738810985
CLSTN2,-1.078593607,8.110581135,-6.86090144,3.67E-08,7.29E-06,8.718201587
EMC7,-0.69621784,9.039464364,-6.860222124,3.67E-08,7.29E-06,8.716152268
UCHL3,-1.190657761,6.856105856,-6.860216266,3.67E-08,7.29E-06,8.716134596
LPAR1,-1.004991656,7.69886025,-6.859883831,3.68E-08,7.29E-06,8.715131713
RASL11B,1.840828792,8.079431483,6.851795502,3.77E-08,7.46E-06,8.690728769
