,logFC,AveExpr,t,P.Value,adj.P.Val,B
PPA1,-0.475450032,9.764164262,-4.375190122,9.04E-05,0.002006172,1.222398135
ACAT1,-0.458849869,12.38518404,-4.375022205,9.05E-05,0.002006554,1.221910863
RAVER2,-0.528748481,9.298015857,-4.374890079,9.05E-05,0.002006718,1.221527458
DPP7,-0.618697225,6.248287301,-4.373456968,9.09E-05,0.002013896,1.217369053
NDUFAF4,-0.871679885,4.049267392,-4.373403167,9.09E-05,0.002013896,1.217212947
GPR155,-0.486298671,9.159349175,-4.371554644,9.14E-05,0.002023331,1.211849809
USP14,-0.388199607,10.02932385,-4.370960264,9.16E-05,0.002025892,1.210125478
RD3L,-0.68530276,7.724572515,-4.370827183,9.16E-05,0.002025892,1.209739413
TPST2,-0.673970159,7.510425046,-4.370774556,9.17E-05,0.002025892,1.209586744
SCCPDH,-0.418848786,9.802602249,-4.370570055,9.17E-05,0.002026164,1.208993501
NFXL1,-1.689643199,2.736692303,-4.37037195,9.18E-05,0.002026292,1.20841882
MEPCE,-0.388360382,8.474083743,-4.370260355,9.18E-05,0.002026292,1.208095098
FAM228B,-0.629991784,5.761531071,-4.370234335,9.18E-05,0.002026292,1.208019619
PNKD,-0.514403806,8.748629655,-4.369790805,9.19E-05,0.002027737,1.206733026
AZIN2,0.809660834,6.312154501,4.368356859,9.23E-05,0.002034669,1.202573722
CAMK2D,0.568933142,10.35353395,4.367687173,9.25E-05,0.00203796,1.200631377
RIPOR3,-0.51323146,7.816309741,-4.367564728,9.26E-05,0.00203796,1.200276249
TIMM13,-0.594687822,6.722935377,-4.36751239,9.26E-05,0.00203796,1.200124455
AURKAIP1,-0.48872748,8.84250842,-4.365581656,9.31E-05,0.002047773,1.194525182
NUDCD3,-0.486645553,8.822629979,-4.363724414,9.37E-05,0.002055068,1.189139779
PYGL,-0.562321936,5.205241172,-4.363109772,9.38E-05,0.002057626,1.187357674
NCLN,-0.665173302,7.280848973,-4.363107578,9.38E-05,0.002057626,1.187351313
PLSCR2,-1.172505449,3.187908521,-4.362510502,9.40E-05,0.002060719,1.185620218
RHOT1,-0.618691811,6.414832423,-4.362148452,9.41E-05,0.002062338,1.184570566
CLDN1,2.441398896,4.387846138,4.361365229,9.43E-05,0.002065298,1.182299947
CACNA2D4,-1.514302852,3.114435275,-4.3606034,9.45E-05,0.002068676,1.180091473
LINC02500,-3.172693384,3.111384004,-4.360412478,9.46E-05,0.002068676,1.179538028
CIAO2B,-0.634742598,8.586456598,-4.359087697,9.50E-05,0.002075727,1.175697951
SNX6,-0.522547582,9.433502896,-4.357852736,9.53E-05,0.002082893,1.172118566
BRI3BP,-0.388048529,8.127358008,-4.356614763,9.57E-05,0.002090085,1.168530771
MBOAT1,-0.536799006,6.940777158,-4.356415704,9.58E-05,0.002090085,1.167953904
PARP4,-0.351349947,10.49754989,-4.356409518,9.58E-05,0.002090085,1.167935978
SEMA5B,1.164278328,5.652378726,4.356092976,9.59E-05,0.00209144,1.167018667
KLHL18,-0.959044484,5.302083336,-4.355911624,9.59E-05,0.002091934,1.166493135
TPRKB,-0.786537018,6.612000816,-4.35580154,9.59E-05,0.002091974,1.166174131
CYLD,0.690499441,9.378001022,4.35552386,9.60E-05,0.002093082,1.165369472
MRPL18,-0.490683291,9.018814184,-4.35465481,9.63E-05,0.002097305,1.162851253
ARL6IP4,-0.649111813,7.604310692,-4.353807071,9.65E-05,0.002102064,1.160394941
LRP2BP,-0.58571736,7.466458616,-4.351389498,9.72E-05,0.002116264,1.153390892
H4C1,-1.052715395,4.44907189,-4.351077279,9.73E-05,0.002117609,1.152486438
NEXN,0.720910625,7.841773257,4.350599147,9.75E-05,0.002120026,1.151101401
EPHA3,1.065167684,5.283685444,4.348824833,9.80E-05,0.002128157,1.145962045
MFAP3,-0.908843506,3.813179637,-4.348596542,9.81E-05,0.002128966,1.145300844
TLCD4,-0.971075692,6.827467694,-4.347779422,9.83E-05,0.002133153,1.142934294
F2RL2,1.229413812,6.82306146,4.34705331,9.85E-05,0.002135633,1.140831442
PXN,-0.775154447,7.898429461,-4.346114988,9.88E-05,0.00214107,1.138114186
CA5B,-0.463585642,8.390323028,-4.345555688,9.90E-05,0.002143794,1.136494618
G0S2,-0.845576154,9.426117968,-4.345491097,9.90E-05,0.002143794,1.136307585
MUC20-OT1,-0.825044045,5.572276514,-4.34514173,9.91E-05,0.002145402,1.13529596
KY,-0.730743216,6.509343383,-4.344811666,9.92E-05,0.002146885,1.134340252
MATN2,-0.678692932,8.011947801,-4.343974227,9.95E-05,0.002150978,1.131915531
MROH7,0.900935796,5.506815734,4.343791751,9.95E-05,0.002150978,1.131387208
TNKS1BP1,-0.704167005,9.164834179,-4.343770792,9.95E-05,0.002150978,1.131326527
MRPL9,-0.50660029,8.033836653,-4.343671093,9.95E-05,0.002150978,1.131037871
ADD1,-0.581103392,10.30595808,-4.343548116,9.96E-05,0.00215111,1.130681825
GALNT14,-1.021032213,5.927581579,-4.343122027,9.97E-05,0.002153227,1.129448222
BLOC1S1,-0.652340975,8.138683795,-4.342458833,9.99E-05,0.002156229,1.127528238
LINC01465,-0.632828999,5.892721481,-4.338722217,0.00010106,0.002176805,1.116712267
TCF4,0.538961089,9.021963458,4.338261387,0.000101202,0.002178499,1.115378559
PHB2,-0.516753666,10.50978127,-4.337123587,0.000101553,0.002184011,1.112085801
OXSM,-0.635599549,6.982487411,-4.336994913,0.000101593,0.002184185,1.111713438
RBM33-DT,-0.540441367,5.082100467,-4.336538754,0.000101734,0.002186537,1.110393418
PLAAT4,-1.083488617,5.168253655,-4.335713374,0.00010199,0.002191353,1.108005071
SCAMP1,-0.376673201,10.10052134,-4.334719735,0.000102299,0.002195936,1.105130036
HNRNPH3,1.162070868,3.823221223,4.334293661,0.000102431,0.0021981,1.103897281
CISD2,-0.471480858,8.02304019,-4.334049724,0.000102507,0.002198864,1.103191519
PPP4R2,-0.462309249,10.85798025,-4.332872654,0.000102875,0.00220392,1.099786181
IFI27L1,-0.768642712,5.209201784,-4.332327757,0.000103046,0.002205112,1.098209861
OSTC,-0.86148758,3.078046049,-4.331704284,0.000103242,0.002208613,1.09640631
NT5C2,1.063703359,5.491673106,4.331386323,0.000103341,0.002210065,1.095486557
ZNF407-AS1,-0.423642513,7.668866486,-4.330122254,0.00010374,0.002217892,1.091830263
CYTH4,-0.91570767,5.634486618,-4.328730976,0.00010418,0.002225228,1.087806415
ARPC5,-0.619728466,8.55514119,-4.3279211,0.000104436,0.002228796,1.085464288
NRIP1,-0.543373939,9.305370567,-4.327774544,0.000104483,0.002228796,1.08504047
PALS1,-0.531484929,5.641988476,-4.327672103,0.000104516,0.002228796,1.08474423
PGD,-0.469600728,8.695445645,-4.327492245,0.000104573,0.002228796,1.084224117
VSIR,-0.73374852,8.925354282,-4.326974246,0.000104738,0.002230931,1.082726207
PIFO,-1.100878718,5.992723979,-4.326092714,0.000105019,0.00223416,1.080177195
SLC35E4,-0.500996139,5.770040624,-4.325501524,0.000105208,0.002236443,1.078467822
NPTN,-0.483090416,9.842035929,-4.325452683,0.000105223,0.002236443,1.078326606
RNF138,-0.389628006,7.637696101,-4.324824725,0.000105425,0.002239337,1.07651101
H1-1,-0.907269911,5.283442667,-4.324586737,0.000105501,0.002240269,1.075822944
B3GALNT1,-0.852187313,7.27343643,-4.324410861,0.000105557,0.002240777,1.075314463
DNASE1L1,-0.711999331,7.940030559,-4.323927871,0.000105712,0.00224338,1.073918112
RPA1,-0.887534502,4.960499977,-4.32264612,0.000106125,0.002248657,1.070212738
CLDN12,-0.650380457,8.792970722,-4.322588966,0.000106144,0.002248657,1.07004752
PECR,-0.802862198,5.611026963,-4.322494019,0.000106174,0.002248657,1.069773057
POLR3G,-0.830870772,6.388216452,-4.322447481,0.000106189,0.002248657,1.06963853
CHORDC1,-0.961507668,2.714035946,-4.322315516,0.000106232,0.002248869,1.069257064
ICAM2,-0.858747947,6.483927354,-4.321660567,0.000106444,0.00225266,1.067363877
BRD2,-0.482601876,8.361654374,-4.32039297,0.000106855,0.002259971,1.06370004
SLC16A1,-0.498411228,9.527229837,-4.31631539,0.000108187,0.002283255,1.051916659
STIP1,-0.535122326,10.15478642,-4.316118644,0.000108252,0.002283922,1.051348195
ELP4,-0.698564634,3.899366749,-4.316016401,0.000108286,0.002283933,1.051052785
RAB9B,-0.534079136,10.24311721,-4.315558366,0.000108437,0.002285019,1.049729413
RMI1,-0.479731208,7.385224343,-4.313151799,0.000109232,0.002299683,1.042777016
CERK,-0.630497583,4.557945192,-4.312890789,0.000109319,0.002300136,1.042023053
SNCA,1.019355104,7.669163916,4.312886212,0.000109321,0.002300136,1.042009831
NEK10,-0.893646077,5.782494652,-4.310581136,0.000110089,0.002312774,1.035351956
PPP1R15B,-0.39381601,10.1390458,-4.309153952,0.000110567,0.002319997,1.031230327
CCNH,-0.610983116,7.444235213,-4.308517933,0.000110781,0.002322874,1.029393682
MRPL36,-0.646115108,7.432753295,-4.304836928,0.000112027,0.002344595,1.018765712
BPGM,-0.442360118,7.903402957,-4.304781613,0.000112046,0.002344595,1.018606027
RAMAC,-0.442984863,8.166325044,-4.304417253,0.00011217,0.002346239,1.017554196
HMCN2,0.497243959,7.398040245,4.304351107,0.000112192,0.002346239,1.01736325
CENPV,-1.605048967,3.706391096,-4.303893519,0.000112348,0.002348618,1.016042337
ZBTB11,-0.383944187,9.568758984,-4.303646454,0.000112433,0.002349129,1.015329159
COTL1,-0.942619038,6.805673619,-4.303400598,0.000112517,0.002350172,1.01461948
DSE,-0.577750086,7.367178982,-4.302569034,0.000112801,0.002355401,1.012219225
CAPZA1,-0.859711073,7.695490835,-4.301944327,0.000113015,0.002359159,1.01041615
MED27,-0.429489167,7.522488465,-4.30081429,0.000113404,0.002366077,1.007154773
CAV2,-0.841117007,6.680974612,-4.299822216,0.000113746,0.002371538,1.0042918
TNFRSF1B,-0.675995032,8.277698549,-4.299435486,0.000113879,0.002373607,1.003175814
IL6ST,-0.487950852,11.46325297,-4.298350204,0.000114255,0.002379284,1.000044197
BMP7,-2.330461066,4.167454039,-4.297767742,0.000114458,0.002382056,0.998363594
EHBP1L1,1.191517067,5.189579521,4.297659962,0.000114495,0.002382117,0.998052617
FMO5,-0.974335073,5.028014651,-4.297216698,0.000114649,0.002383926,0.996773707
SYN1,-0.671835298,5.025115508,-4.297211191,0.000114651,0.002383926,0.996757819
SLC10A1,-0.742255547,6.115099701,-4.296177797,0.000115011,0.002390696,0.99377643
SFRP5,-1.867285529,3.04781569,-4.296020807,0.000115066,0.002391115,0.993323528
UQCRH,-0.549478324,11.88686736,-4.295536515,0.000115235,0.002392897,0.991926421
DAB2,-0.734426893,9.25310035,-4.295477695,0.000115256,0.002392897,0.991756737
ALDH2,-0.543703949,9.924426529,-4.294974453,0.000115432,0.002395834,0.990305025
CLCN6,2.177508504,3.983378236,4.294831194,0.000115482,0.002396155,0.989891772
TP53RK,-0.394237581,7.796086365,-4.294298803,0.000115669,0.002399308,0.98835605
ABLIM1,-0.406004099,13.47969344,-4.293354455,0.000116001,0.002404748,0.985632165
FRMD3,-0.87946241,7.408164388,-4.293135259,0.000116078,0.002404991,0.984999942
MIR1302-9HG,-0.517472567,8.693074377,-4.293123215,0.000116083,0.002404991,0.984965204
THBD,-0.81018376,8.662967455,-4.292574717,0.000116276,0.002408274,0.983383228
NMRAL1,-0.714479815,4.430601238,-4.291543867,0.00011664,0.002415095,0.980410237
MYLK4,-0.866393985,5.767758716,-4.290415724,0.00011704,0.00242047,0.977156922
BSN-AS1,-0.691870732,4.711542308,-4.290136226,0.00011714,0.002421798,0.976350957
GPR173,0.7439895,6.401313515,4.289591171,0.000117333,0.002425079,0.974779273
CCDC66,-0.701333903,4.826588999,-4.289173208,0.000117482,0.002426263,0.97357411
MSANTD4,-0.535798666,8.42529613,-4.288425335,0.000117749,0.002430032,0.971417774
RAB6B,-0.528684713,9.376246069,-4.288216848,0.000117824,0.002430842,0.970816666
GTF3C5,-0.766246924,4.790332137,-4.287835228,0.00011796,0.002432913,0.969716408
BLVRA,-0.516786469,8.47210817,-4.287739116,0.000117995,0.002432913,0.969439311
LSM6,-1.091438469,2.996294443,-4.286974073,0.000118269,0.002437109,0.967233714
PAPSS2,-0.943542023,7.463981706,-4.286830017,0.000118321,0.002437446,0.966818419
TSC22D3,-1.142459935,9.092468615,-4.286272289,0.000118521,0.002439586,0.965210606
PRICKLE2,0.832026808,4.937856835,4.285208139,0.000118904,0.002444553,0.962143074
IFT122,-0.730522467,4.816480396,-4.284915531,0.00011901,0.002444553,0.961299643
NCR3LG1,0.678987434,7.730189598,4.28490092,0.000119015,0.002444553,0.961257529
IL4R,-1.150822735,2.742931059,-4.284690868,0.000119091,0.002444553,0.960652074
VTA1,-0.423806508,9.038538208,-4.28448821,0.000119164,0.002445328,0.960067943
MIF,-0.855063852,6.836232191,-4.283117259,0.000119661,0.002453328,0.956116616
SRI,-0.48941629,8.793423259,-4.282963716,0.000119716,0.002453742,0.955674103
ZNF555,-0.510473274,6.486219103,-4.281965706,0.000120079,0.002458258,0.952797961
UBN1,-0.740721729,9.161831974,-4.281728015,0.000120166,0.002459301,0.952112996
AGTPBP1,-0.529019914,10.33207249,-4.278800203,0.000121238,0.00247609,0.943676839
NDUFC1,-0.970131981,6.629289839,-4.27866623,0.000121287,0.002476363,0.943290858
BLCAP,-0.474992944,5.909946428,-4.278343205,0.000121406,0.002478056,0.942360225
POLR3C,-0.48942807,7.92898922,-4.276652817,0.00012203,0.00248858,0.937490614
PHF5A,-0.46004377,7.906957122,-4.276410575,0.000122119,0.002489672,0.936792827
DPYSL2,-0.466709884,12.01577414,-4.276152947,0.000122215,0.002490881,0.936050729
TP53TG1,-0.894877452,3.930812357,-4.275980951,0.000122278,0.002491444,0.935555305
CRY1,-0.477275037,8.313365982,-4.274912137,0.000122675,0.00249658,0.932476795
TST,-0.832916684,7.4438025,-4.273431011,0.000123227,0.002506336,0.928211129
LINC02977,-1.127958621,4.948997906,-4.272691915,0.000123504,0.002511216,0.926082704
ABCG2,0.926386169,7.222186739,4.272432437,0.000123601,0.002512451,0.925335497
CALCRL-AS1,-0.606144027,5.403005483,-4.27209969,0.000123726,0.00251327,0.924377325
C11orf71,-0.566406441,7.845208141,-4.27182036,0.00012383,0.002513413,0.92357299
ARNTL2,0.801701772,6.932799735,4.271508389,0.000123947,0.002514311,0.922674683
ECPAS,-0.468824805,9.236400612,-4.270914272,0.000124171,0.002516622,0.920964012
KALRN,0.749018763,4.799301316,4.27023289,0.000124428,0.002521083,0.919002174
NPRL3,-0.797237161,5.861730166,-4.268794411,0.000124971,0.002530611,0.914860843
INKA2,-0.566710212,9.129076649,-4.267373112,0.000125511,0.002539296,0.910769435
KIDINS220,0.71485167,11.7234199,4.267239722,0.000125561,0.002539578,0.910385474
COX6C,-0.544255708,11.74700627,-4.266975034,0.000125662,0.00254087,0.909623591
OSBPL8,-0.801735062,7.252051642,-4.266000943,0.000126033,0.002546887,0.906819885
HMGN3-AS1,-0.423601027,6.993273067,-4.265782051,0.000126117,0.00254783,0.906189881
WIPF3,0.671465652,6.355260711,4.26511815,0.000126371,0.002551466,0.904279145
MCUB,-0.756992124,5.944820566,-4.263112839,0.000127141,0.002564761,0.898508377
IDE,-0.698669099,5.666122288,-4.262677851,0.000127309,0.002566641,0.897256714
TXNL1,-0.447768401,9.270110297,-4.26235244,0.000127434,0.002568147,0.896320385
MED9,-0.775934371,4.508521145,-4.261900818,0.000127609,0.002570435,0.895020939
RFC4,-1.212258839,4.616873592,-4.261307532,0.000127838,0.002574307,0.893313954
CNDP2,-0.508450187,9.217201924,-4.260722739,0.000128065,0.002577365,0.891631482
RBIS,-0.959117122,7.163914992,-4.258898022,0.000128775,0.002590137,0.886382204
DLL4,0.846345877,8.833276801,4.258230506,0.000129035,0.002593865,0.884462109
TSPO,-0.519280021,8.551584832,-4.257490098,0.000129325,0.002598594,0.88233246
NIBAN1,0.547702118,14.68864017,4.257436628,0.000129346,0.002598594,0.882178669
PPP3CC,-1.069240749,5.749221601,-4.257220468,0.00012943,0.002599142,0.88155695
SMIM12,-0.521217565,7.520519532,-4.257174584,0.000129448,0.002599142,0.881424981
CFAP69,-0.973955649,5.045874561,-4.256299217,0.000129792,0.002604524,0.878907373
MAGOHB,-0.703104934,5.177905952,-4.256143972,0.000129853,0.002604991,0.878460894
TGFB3,0.765926791,7.079852328,4.255408085,0.000130143,0.002609284,0.876344602
INPPL1,1.078154915,3.424802161,4.254731487,0.000130409,0.002612622,0.874398922
AK2,-0.483151276,9.110099014,-4.254697856,0.000130423,0.002612622,0.874302211
ZNF92,-1.029630506,5.960463234,-4.253539852,0.000130881,0.002621037,0.870972417
SNX13,-0.776628671,6.632115875,-4.253282065,0.000130983,0.002621209,0.870231201
OLA1,-0.484223338,9.475550698,-4.252842054,0.000131158,0.002623532,0.868966072
PGF,0.899768282,5.177735368,4.252443152,0.000131316,0.00262518,0.86781918
ZNF639,-0.414424611,8.001170811,-4.252193751,0.000131415,0.002626401,0.867102139
PLRG1,-0.4353678,8.446371371,-4.251020047,0.000131883,0.002632697,0.863727872
TMBIM1,-0.506595189,10.21454084,-4.250329445,0.000132159,0.002634027,0.861742619
AKR1C1,-0.508836261,7.296579876,-4.250279966,0.000132179,0.002634027,0.861600386
RAD9B,-0.857051079,5.454834601,-4.250075181,0.000132261,0.002634221,0.86101172
SEPTIN5,0.625030092,9.00233739,4.249956936,0.000132308,0.00263432,0.860671823
EDNRA,1.038197947,6.92617902,4.248991817,0.000132695,0.002638979,0.857897687
METTL5,-1.287341573,1.840845398,-4.248581931,0.00013286,0.002641493,0.856719577
ARV1,-0.46539413,8.107802036,-4.247738261,0.000133199,0.00264672,0.854294789
SHTN1,-0.622291611,7.053561695,-4.247234252,0.000133403,0.002649953,0.852846298
CD99,-0.556205871,10.69872059,-4.247003669,0.000133496,0.00265032,0.852183635
JPT1,-0.643284027,6.073967859,-4.245722883,0.000134014,0.002657878,0.848503063
TMEM203,-0.512446178,8.156020624,-4.245682273,0.000134031,0.002657878,0.84838637
MOCS2,-0.40914527,10.09458369,-4.245144996,0.000134249,0.002659428,0.846842525
GUCY1A2,-0.567019486,10.49932499,-4.245109722,0.000134263,0.002659428,0.846741167
DYNLL1,-0.859191535,4.50570241,-4.244251669,0.000134612,0.002664047,0.84427573
SLC25A46,-0.388211526,9.973440182,-4.24404307,0.000134697,0.002664964,0.84367639
HIF3A,-0.95577859,5.344927432,-4.24368587,0.000134843,0.00266708,0.842650116
MAP4K4,0.492500717,9.743342193,4.242745718,0.000135227,0.002673144,0.839949101
NDUFA2,-0.801191194,6.730939665,-4.242292302,0.000135413,0.002675886,0.838646529
SARS1,-0.596200538,5.776584084,-4.242217372,0.000135443,0.002675886,0.838431275
WBP1L,-0.510936114,9.259839047,-4.240839313,0.000136009,0.002684757,0.83447271
C3orf52,-0.768145802,6.236406253,-4.240011718,0.00013635,0.002689947,0.832095601
HP1BP3,-0.629555788,9.544276121,-4.239861153,0.000136412,0.002690403,0.831663148
GRK3,-0.65986229,8.002310469,-4.239314083,0.000136638,0.002694088,0.8300919
ESYT2,-0.535360606,7.009959042,-4.238487832,0.00013698,0.002700057,0.827718942
AIF1,-0.784319625,5.975006248,-4.237983378,0.000137189,0.002703407,0.826270248
TIMM50,-0.48584129,8.615097151,-4.23674069,0.000137706,0.002711373,0.822701743
NPL,-0.445143522,6.842377631,-4.23672719,0.000137711,0.002711373,0.822662979
RAB5A,-0.739014404,5.018825571,-4.236488445,0.000137811,0.002712557,0.821977442
CA3,2.423482006,8.244417495,4.236050325,0.000137993,0.002714754,0.820719445
MYO15A,-0.906249813,3.443831457,-4.23597311,0.000138026,0.002714754,0.82049774
SOD1,-0.478058685,11.66688948,-4.23593773,0.00013804,0.002714754,0.820396155
GALC,-0.486731371,9.269680728,-4.235184101,0.000138355,0.002719397,0.818232346
ART3,-1.102414961,7.238260741,-4.234463851,0.000138657,0.002723773,0.8161645
ECSIT,-0.465668159,9.775187104,-4.233852771,0.000138913,0.002727163,0.814410178
MRPS9,-0.415062099,10.06923685,-4.233765692,0.00013895,0.002727163,0.814160193
EIF5A,-0.768673454,9.270341616,-4.233675873,0.000138988,0.002727163,0.813902346
ZNF540,-0.895432605,5.696303882,-4.232168295,0.000139623,0.002738843,0.809574737
HCFC2,-0.402218951,9.360771994,-4.231904235,0.000139734,0.002739472,0.80881679
MCTS2,-0.794600204,3.875149623,-4.230825739,0.00014019,0.002746856,0.805721282
MED8-AS1,-0.874208395,3.987639372,-4.230429233,0.000140359,0.00274937,0.804583297
ZNF644,-0.595183639,8.878971019,-4.228829357,0.000141039,0.00276113,0.799991969
U2SURP,-1.261891441,3.048413023,-4.227660808,0.000141538,0.002770113,0.796638843
SLC15A3,-0.681798562,5.600480777,-4.22659125,0.000141996,0.002778293,0.79357005
IFNW1,0.774515194,4.306619026,4.225564827,0.000142437,0.002786134,0.790625269
MCFD2,-0.58868796,9.586351887,-4.224292299,0.000142986,0.002796075,0.786974765
TBX18,-1.039972622,7.41698792,-4.223462337,0.000143345,0.00280045,0.784594054
POT1,-0.526369284,8.265292318,-4.223399696,0.000143372,0.00280045,0.784414378
CACNA2D1,0.967676942,4.687853313,4.222759515,0.00014365,0.002804284,0.782578166
RWDD1,-0.499283491,9.572752055,-4.222348594,0.000143828,0.002806973,0.781399584
ASXL3,-0.702122449,5.868844565,-4.221423082,0.000144231,0.002813413,0.778745225
LDHD,-0.641248502,8.571087396,-4.221402872,0.00014424,0.002813413,0.778687264
ERC1,0.530119202,6.06142356,4.22111091,0.000144367,0.002813871,0.777849965
HSD17B12,-0.547117342,10.22184769,-4.221036287,0.0001444,0.002813871,0.777635961
BARD1,-0.803908786,6.989434094,-4.220974718,0.000144427,0.002813871,0.777459395
DCLK1,-1.377541651,5.976192212,-4.220445111,0.000144658,0.002816913,0.775940634
TMEM9B,-0.694343971,7.465346187,-4.219760079,0.000144958,0.00282007,0.773976256
PRDM1,1.041611596,6.890790238,4.219562632,0.000145044,0.002820323,0.773410083
TSPYL2,-0.772944885,5.169987779,-4.218850822,0.000145356,0.002824801,0.771369066
OTULIN-DT,-0.86534557,4.272946079,-4.218034354,0.000145715,0.002830181,0.769028104
TTC1,-0.437342581,9.845951628,-4.217295487,0.000146041,0.002834907,0.766909777
EPHX1,-0.608306919,9.012457851,-4.216782557,0.000146267,0.00283721,0.765439283
SNORD17,-0.777154113,9.042642183,-4.215427946,0.000146867,0.002846135,0.761556116
SNRPF,-0.437388259,8.054704993,-4.21372676,0.000147623,0.002857888,0.756680057
SNHG3,-0.980670639,8.822324522,-4.213598362,0.00014768,0.002857888,0.756312064
MTFMT,-0.529483611,7.238596618,-4.212958172,0.000147966,0.002861812,0.754477302
FYTTD1,-0.81188723,6.751171936,-4.212467643,0.000148185,0.002864256,0.753071529
UCHL5,-0.709132386,7.086875124,-4.212396912,0.000148217,0.002864256,0.752868833
DCUN1D3,-0.672308867,6.165781442,-4.212005892,0.000148392,0.002865826,0.751748282
CFLAR-AS1,-0.555764099,8.11608759,-4.211174112,0.000148765,0.002870828,0.749364765
CLN5,-0.671113386,5.770240755,-4.210945676,0.000148868,0.002871309,0.748710195
ZNF823,-0.459720284,6.9882817,-4.210933377,0.000148873,0.002871309,0.748674953
RGL1,-0.882952188,8.148814209,-4.210532966,0.000149054,0.002873175,0.747527633
RPS16,-0.625742532,11.90504118,-4.21027069,0.000149172,0.002873892,0.746776139
PACRG,-1.297617836,3.23483944,-4.210201199,0.000149203,0.002873892,0.746577029
NEPRO,-0.566670262,9.348142387,-4.210172748,0.000149216,0.002873892,0.74649551
MAP3K6,-0.977104621,3.743006933,-4.209635991,0.000149458,0.002877748,0.744957613
HRG-AS1,0.96978657,5.753647991,4.208612328,0.00014992,0.002884239,0.742024841
UGT2B10,-1.818264895,4.612665579,-4.20850401,0.000149969,0.002884378,0.741714526
TNFAIP1,-0.978532927,4.499418476,-4.207663996,0.00015035,0.002888478,0.739308111
MBOAT2,1.048416129,3.493460053,4.207204552,0.000150559,0.002891681,0.737991998
CCNT2,-0.469143297,8.593076188,-4.206982533,0.00015066,0.002892009,0.737356024
SKIDA1,-0.720036353,6.72271171,-4.203443854,0.000152277,0.002918997,0.72722107
CHAMP1,-0.413095313,8.384718584,-4.203263799,0.00015236,0.002919772,0.726705462
DNAJC11,-0.51609371,9.699801157,-4.202623235,0.000152655,0.002922276,0.724871202
RWDD2A,-0.4315823,7.254977902,-4.202006078,0.000152939,0.002925184,0.723104058
ATAD1,-0.404777743,10.89349173,-4.201395324,0.000153221,0.002928955,0.72135534
DAP3,-0.998678708,3.487563737,-4.200877543,0.000153461,0.002931353,0.719872892
UBAC2,0.730157043,5.502237474,4.200848551,0.000153474,0.002931353,0.719789886
DNAJB1,-0.459225806,9.120122527,-4.200585216,0.000153596,0.002931689,0.719035963
TLE5,-0.740389165,6.269476076,-4.199941632,0.000153895,0.002934508,0.717193465
LYRM4,-0.469488534,7.366572227,-4.199752922,0.000153982,0.002935368,0.716653232
MDM2,-0.451652667,8.874012892,-4.199534087,0.000154084,0.002936366,0.716026769
MYOCD-AS1,0.627476488,6.900502396,4.199273917,0.000154205,0.002936366,0.715281989
ITM2B,-0.438102039,11.08946746,-4.198809463,0.000154421,0.002939672,0.713952451
TNS2,-1.036234114,7.696824224,-4.196920802,0.000155303,0.002952392,0.708546542
SWSAP1,-0.47170792,5.11823945,-4.195661558,0.000155894,0.002960728,0.704942683
KLHL7,-0.694206468,10.01547842,-4.195550855,0.000155946,0.002960728,0.704625878
NTRK1,-1.359915385,3.371030956,-4.194941374,0.000156233,0.002965166,0.702881745
CHIC1,-0.384431945,9.394971528,-4.194570861,0.000156408,0.002967665,0.701821501
TNNI3K,-0.82829941,10.48559525,-4.193405923,0.000156958,0.002975653,0.698488182
SEC62,-0.577813338,5.031531612,-4.193064148,0.00015712,0.002977518,0.6975103
WBP11,-0.909056065,3.311324995,-4.193015843,0.000157143,0.002977518,0.697372092
KCNC3,0.822492038,5.04754992,4.191392934,0.000157914,0.00298966,0.692729046
PRKCD,-0.661979176,6.529553825,-4.191192063,0.00015801,0.00298983,0.692154407
UFD1-AS1,-0.654830656,4.356552694,-4.190369612,0.000158402,0.002996105,0.689801705
GALNT1,-0.53887644,9.512633384,-4.190223775,0.000158472,0.002996105,0.689384541
UBLCP1,-0.400886103,8.743134389,-4.188326278,0.000159381,0.003009992,0.68395725
NDFIP2,-0.623361114,8.228710719,-4.187759275,0.000159653,0.00301419,0.682335656
DNAJC1,-0.408636512,8.29685289,-4.187682271,0.00015969,0.00301419,0.682115433
ERCC8,-0.61647355,4.612431096,-4.187334242,0.000159858,0.003016528,0.681120138
ELAVL1,-0.378036142,9.060559912,-4.186732712,0.000160148,0.003018939,0.679399943
RBM33,-0.50645352,8.107821261,-4.186711378,0.000160158,0.003018939,0.679338937
RRAS2,1.082992457,6.743676749,4.186010567,0.000160497,0.003023271,0.677334943
ORC3,-0.541392224,8.786433972,-4.185665306,0.000160664,0.003025119,0.6763477
VTI1B,-0.661455892,7.629931657,-4.185403752,0.000160791,0.003026679,0.675599831
SYTL1,-0.636950645,4.446074482,-4.184473201,0.000161242,0.00303435,0.672939206
C11orf1,-0.490764384,6.998224165,-4.181232806,0.000162825,0.003059116,0.66367593
PSMB2,-0.524627818,7.461546229,-4.17974864,0.000163554,0.003069481,0.659434012
MFAP5,-1.003582671,8.793728554,-4.179019029,0.000163914,0.003075398,0.657348897
CDK7,-0.502500344,7.542738392,-4.177758386,0.000164538,0.003084582,0.653746475
FER,-0.488216146,7.773084898,-4.176298781,0.000165263,0.003095649,0.649575981
RMDN3,-0.585618204,7.579335383,-4.176017793,0.000165403,0.003096588,0.648773182
