,logFC,AveExpr,t,P.Value,adj.P.Val,B
CDC42EP3,-0.470848457,9.9227889,-1.771767327,0.087315726,0.212091398,-4.728207013
MMS22L,-0.455404338,5.292217981,-1.771517577,0.087358041,0.21214106,-4.728600826
MCCC2,-0.539408191,9.895883893,-1.77139564,0.087378708,0.21214106,-4.728793086
ZNF830,-0.484164414,5.771912667,-1.771370612,0.08738295,0.21214106,-4.728832546
PJA2,-0.568725643,10.62357426,-1.771090314,0.087430473,0.212221169,-4.729274448
UBE2N,-0.604711489,8.481430877,-1.770568804,0.087518952,0.212400646,-4.730096485
XRCC3,0.590071358,5.092614708,1.769868103,0.087637952,0.212618811,-4.731200675
SESN1,-0.583917887,8.596974258,-1.769714077,0.087664128,0.212647006,-4.731443347
MRRF,-0.38064388,7.545220366,-1.769424779,0.087713312,0.212670936,-4.731899101
CLPB,-0.454262164,7.299126285,-1.769285456,0.087737007,0.212670936,-4.732118566
THSD1,-0.432236871,6.620541448,-1.769200765,0.087751413,0.212670936,-4.732251967
RIF1,-0.450376783,9.252516699,-1.769199179,0.087751683,0.212670936,-4.732254465
HSBP1,-0.645041005,8.735932094,-1.769198731,0.087751759,0.212670936,-4.732255171
HSPA9,-0.55578862,11.66034614,-1.769142459,0.087761333,0.212670936,-4.732343805
OBI1,-0.457470493,7.224183533,-1.768466962,0.08787632,0.212891375,-4.733407604
TTF2,-0.454684016,6.374312791,-1.768363499,0.087893943,0.212891375,-4.733570514
COPS7A,-0.50000329,8.428150039,-1.768122857,0.087934944,0.212935149,-4.733949391
PSMB7,-0.528585798,8.852873788,-1.768074199,0.087943237,0.212935149,-4.734025995
TMC6,0.474144043,7.756427416,1.767928203,0.087968122,0.21296011,-4.734255834
SFXN4,-0.453415619,7.493126078,-1.767785807,0.087992399,0.212983591,-4.734479989
TFDP1,-0.472714671,8.038866981,-1.767465777,0.088046983,0.213045118,-4.734983721
KIAA1143,-0.654665572,8.980721834,-1.767080671,0.088112703,0.213163691,-4.735589785
SNAI1,-0.913875816,2.870505767,-1.767007662,0.088125167,0.213163691,-4.735704672
MTMR6,-0.668229799,8.55951691,-1.766755775,0.088168181,0.213232433,-4.736101013
ATRIP,-0.411718537,4.722708313,-1.766590501,0.088196414,0.213254734,-4.736361046
ZNF776,-0.420370345,7.699082765,-1.76653091,0.088206595,0.213254734,-4.736454797
ADAMTSL4-AS1,0.756278589,2.60723332,1.766387358,0.088231126,0.213278749,-4.736680632
MRPL44,-0.509273303,7.717038323,-1.766197412,0.088263594,0.213319071,-4.736979431
TADA3,-0.400716751,8.34411327,-1.766118948,0.088277009,0.213319071,-4.737102853
HAUS4,-0.474452041,6.797582135,-1.765764603,0.088337613,0.213406016,-4.737660175
MAK16,-0.550726764,7.004108695,-1.7656713,0.088353576,0.213406016,-4.73780691
DAB1,1.060551315,5.321235474,1.765652403,0.08835681,0.213406016,-4.737836628
WASL,-0.457065401,8.682677144,-1.76526894,0.088422446,0.213493402,-4.738439618
TTC37,-0.533605308,10.04144175,-1.765188429,0.088436231,0.213493402,-4.738566207
SERPINH1,-0.563192998,8.473769762,-1.765184941,0.088436829,0.213493402,-4.738571692
CNNM4,0.425503277,8.122188725,1.764983572,0.088471318,0.213541376,-4.738888288
MRAS,-0.446237295,10.70272228,-1.764818244,0.088499642,0.213574459,-4.739148199
ODF2,-0.39214246,7.258088073,-1.764662323,0.088526362,0.213588016,-4.739393304
BCCIP,-0.454001816,7.726999582,-1.764546837,0.088546157,0.213588016,-4.739574833
CCDC51,-0.466343396,6.190128534,-1.764529565,0.088549118,0.213588016,-4.739601983
VPS36,-0.45779681,8.893621293,-1.764399442,0.088571427,0.213591924,-4.739806508
PIM1,-0.572115516,6.225651717,-1.764349578,0.088579977,0.213591924,-4.739884879
C16orf46,-0.55010596,3.013890323,-1.763949612,0.088648586,0.213722085,-4.740513451
DOHH,-0.436797419,5.033886082,-1.763790629,0.088675869,0.213752591,-4.740763271
ZBTB45,-0.367554217,4.979189998,-1.763665289,0.088697385,0.213769183,-4.740960213
C19orf18,0.635021077,3.448700944,1.763311147,0.088758198,0.213880468,-4.741516604
CELSR1,0.402096021,7.873159715,1.763152456,0.088785461,0.213910881,-4.741765896
ZNF18,-0.364327369,5.576533719,-1.762642587,0.088873101,0.214028747,-4.742566736
SNRPD3,-0.506272161,8.293308638,-1.762611148,0.088878508,0.214028747,-4.74261611
MOB4,-0.674883754,8.519744874,-1.762547844,0.088889395,0.214028747,-4.742715527
SMIM11,-0.555812265,6.504094347,-1.762526999,0.08889298,0.214028747,-4.742748263
CLEC1A,-0.396786008,4.616795328,-1.76206303,0.08897281,0.214067758,-4.743476812
RARS2,-0.469554328,7.429770737,-1.762033458,0.0889779,0.214067758,-4.743523242
PSMC1,-0.546668608,9.51996351,-1.762029947,0.088978505,0.214067758,-4.743528755
WDR41,-0.563282091,7.24647321,-1.76202619,0.088979151,0.214067758,-4.743534653
OGDHL,0.881940616,5.391542545,1.761951158,0.088992068,0.214067758,-4.743652457
ZNF775,-0.500040594,3.892604906,-1.761838849,0.089011404,0.214067758,-4.743828779
PNMT,-0.734097482,3.171434316,-1.761836855,0.089011748,0.214067758,-4.74383191
NT5DC3,-0.539352811,6.19255695,-1.761686674,0.08903761,0.214094714,-4.744067675
MPIG6B,0.901521546,2.656516102,1.761467067,0.08907544,0.214123195,-4.744412403
PCDHB3,-0.55320831,3.677067311,-1.761281692,0.089107384,0.214123195,-4.744703369
SLC15A2,-0.81981173,4.533404931,-1.7611369,0.089132341,0.214123195,-4.744930618
ANGPT2,-0.634686774,6.118682411,-1.761066205,0.089144529,0.214123195,-4.745041568
SCYL1,-0.407549466,8.426416538,-1.761044582,0.089148257,0.214123195,-4.745075502
PMEL,-0.698699656,1.660426296,-1.761022603,0.089152046,0.214123195,-4.745109995
OR13E1P,0.587069079,3.532709809,1.760913786,0.08917081,0.214133059,-4.745280764
CHD8,-0.404645955,9.315959782,-1.760723143,0.089203691,0.214176817,-4.745579924
BAP1,-0.39890098,8.474581117,-1.760627898,0.089220123,0.21418107,-4.745729374
COA7,-0.466760061,6.166994684,-1.760453148,0.089250277,0.214188244,-4.746003558
CALM1,-0.525042393,11.88628095,-1.760440661,0.089252432,0.214188244,-4.74602315
LSS,-0.375155233,8.190980528,-1.760336039,0.089270489,0.214196395,-4.746187293
API5,-0.537909185,8.531098909,-1.760209369,0.089292357,0.214213683,-4.746386016
NME4,-0.403432232,7.825809286,-1.760020661,0.089324942,0.21422293,-4.746682045
PPME1,-0.458756295,7.680988556,-1.75995492,0.089336296,0.21422293,-4.746785169
MMRN2,-0.414585787,9.057143945,-1.759932324,0.089340199,0.21422293,-4.746820613
SULT1C4,0.48370498,4.562503627,1.759667059,0.089386028,0.21427613,-4.747236679
DNAJC13,-0.478080047,9.746351619,-1.759505211,0.089413999,0.21427613,-4.747490512
PRLR,-0.576144643,4.105939138,-1.759489881,0.089416649,0.21427613,-4.747514555
DHRSX,-0.435262711,6.712763005,-1.759464411,0.089421052,0.21427613,-4.747554498
ZBTB12,0.761956761,3.087379431,1.759370367,0.08943731,0.214279943,-4.747701981
PES1P2,-0.648033182,3.320405934,-1.75915887,0.089473881,0.214332415,-4.748033632
GTF2E1,-0.420883388,6.218009392,-1.759058871,0.089491177,0.214338704,-4.748190431
DCK,-0.627665471,5.908714446,-1.75850669,0.089586734,0.214474375,-4.749056128
NOC3L,-0.457062354,6.811579602,-1.758486396,0.089590248,0.214474375,-4.749087941
MYH11,0.65291139,10.23205703,1.75847707,0.089591862,0.214474375,-4.749102559
RETSAT,-0.526013116,8.082922431,-1.758387385,0.089607392,0.214476408,-4.749243143
TBC1D10B,-0.378444282,7.195510315,-1.758279004,0.089626161,0.214482904,-4.749413026
DMRTA1,-0.602043521,3.193784127,-1.758202185,0.089639467,0.214482904,-4.749533431
PTPRCAP,-0.873971765,2.364180363,-1.757873511,0.089696415,0.214584022,-4.750048546
CDKAL1,-0.354415748,7.130440433,-1.757255648,0.089803552,0.214805157,-4.751016684
PLBD2,-0.424742547,7.541917249,-1.756889378,0.089867115,0.214922008,-4.751590471
GPR89A,-0.483028956,3.821906886,-1.756773861,0.089887169,0.214934787,-4.751771417
RABL2A,0.542326592,4.269352327,1.756396491,0.089952711,0.215000074,-4.752362463
DHRS4L2,-0.527575353,6.235428088,-1.756369538,0.089957393,0.215000074,-4.752404673
RNF111,-0.418493042,7.908513765,-1.756362471,0.089958621,0.215000074,-4.752415741
SNX27,-0.413404206,8.842675147,-1.7561007,0.090004111,0.215062887,-4.752825667
KRT10-AS1,-0.612963956,4.849454204,-1.756041836,0.090014343,0.215062887,-4.75291784
HMGXB4,-0.39398301,6.626193327,-1.755917171,0.090036017,0.215066521,-4.75311304
LSM2,-0.546919883,5.639525219,-1.755838135,0.090049759,0.215066521,-4.753236788
ARRDC4,-0.541079672,7.483402654,-1.755779099,0.090060026,0.215066521,-4.753329219
TBRG1,-0.429749122,7.728763688,-1.755440892,0.090118859,0.215111199,-4.753858694
EDRF1,-0.344745005,6.978789195,-1.755428524,0.090121011,0.215111199,-4.753878055
ATP7A,-0.536656016,7.328921618,-1.75533377,0.0901375,0.215111199,-4.754026381
ZNF277,-0.614308117,7.078442102,-1.755333029,0.090137629,0.215111199,-4.75402754
MFF-DT,-0.527944571,2.86416016,-1.755007761,0.090194252,0.215211175,-4.754536657
