"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CYS1",2.08679423862343,7.14483585245673,13.2642544345442,1.15160967172698e-11,1.11494658016185e-07,16.5309280249942
"FCN3",-3.18489443305761,6.8888914043435,-13.1220461930173,1.4104321064666e-11,1.11494658016185e-07,16.3480479509495
"XPO4",1.34078781687489,10.4116075295809,12.0532219888551,6.8582896282451e-11,3.61431863408517e-07,14.9065067248487
"CCND1",1.32193571396456,11.503379649879,11.769669864743,1.06233278979965e-10,4.19887035168311e-07,14.5032756568242
"FAM129A",0.928282088280671,14.1033472028865,11.5476978232978,1.5046840821933e-10,4.75781106789523e-07,14.1812313054002
"GPR173",1.98459280415466,4.58986866699757,11.4215257563492,1.83799922677426e-10,4.84312796255016e-07,13.9956296524509
"ITIH5",1.96116170064749,9.60824161520999,10.9880940398002,3.70111006699023e-10,8.35922145130222e-07,13.3436492125139
"PROS1",1.87956105083453,11.3740544505581,10.7371099831219,5.60185795752934e-10,1.10706717885674e-06,12.9556751903005
"SLC16A9",2.23024232390531,5.61192182016889,10.5655147295716,7.46654521370908e-10,1.31162310920823e-06,12.6859075243315
"MDFIC",1.01413327025636,9.89261960365927,10.4249078297989,9.47182718615739e-10,1.4959958248906e-06,12.4620817689983
"RNF165",1.12615606180883,6.28860760083955,10.3695275503923,1.04085731017057e-09,1.4959958248906e-06,12.3732313263128
"CCND2",1.35822837791662,11.9070660733757,10.2902343600216,1.1920576996313e-09,1.57053601926424e-06,12.2453288088437
"SFRP4",4.219164665612,7.6398773053682,10.0945426517678,1.67115004520961e-09,2.03197010025892e-06,11.9261799922381
"MDK",2.07480276054569,6.21924556489491,10.0520698788615,1.79934101224699e-09,2.03197010025892e-06,11.8562504393788
"KIF13A",1.19413238300862,11.6647537692967,9.94583539736405,2.16670444645983e-09,2.28370648656866e-06,11.680297528458
"SCUBE2",3.11348302190252,5.78241897102203,9.84931886892797,2.56806330546014e-09,2.46734526956709e-06,11.5191409553048
"SBDSP1",1.25052101661594,7.91798615020984,9.82223706967302,2.6940233375955e-09,2.46734526956709e-06,11.4736981770575
"P2RY8",1.77898625780457,6.59384391634046,9.78192670458406,2.89351178563075e-09,2.46734526956709e-06,11.4058760152527
"EFCC1",2.05771505568566,6.48291622658049,9.76814459652358,2.96518406842344e-09,2.46734526956709e-06,11.3826375626265
"RP11-166D19.1",1.02805852884904,9.41191949185763,9.62480581168191,3.82963415523962e-09,3.02732579971692e-06,11.1394300136273
"PHLDB2",1.13770357106171,11.3911622979021,9.53373698921465,4.51136083187947e-09,3.3964102262864e-06,10.9834621674694
