"","adj.P.Val","P.Value","t","B","logFC"
"IRX2",0.0244,3.43e-06,7.4143084,4.3315,2.85786675
"PROS1",0.0244,3.62e-06,7.3783024,4.2876,2.03317568
"C10orf11",0.0341,8.81e-06,-6.8094738,3.565,-1.70096357
"C1orf105",0.0341,1.132e-05,-6.6532944,3.3571,-2.04286029
"PPP1R16B",0.0341,1.374e-05,6.5344377,3.1961,1.81785865
"PPP2R2B",0.0341,1.728e-05,6.395062,3.0043,3.13936755
"MYH6",0.0341,1.974e-05,-6.315076,2.8926,-1.77057464
"SLITRK4",0.0341,2.024e-05,6.300133,2.8717,3.07573181
"SNCA",0.0423,3.486e-05,5.9783689,2.4107,2.39738974
"OGFRL1",0.0423,3.76e-05,-5.9343692,2.3462,-1.32378022
"NR4A2",0.0423,4.129e-05,-5.8800153,2.2662,-2.3198742
"HSPA2",0.0423,4.267e-05,5.861046,2.2381,2.46263289
"NTNG2",0.0423,4.313e-05,5.854763,2.2288,3.05876301
"RASD1",0.0423,4.389e-05,-5.8447279,2.214,-1.94584491
"SNAP47",0.0443,4.927e-05,5.7781194,2.1147,1.33901504
"LRFN3",0.0479,5.685e-05,5.6961102,1.9916,1.77082655
"SLC16A5",0.0534,7.419e-05,5.5451294,1.7618,1.27466818
"HSPA1B",0.0534,7.998e-05,-5.5027603,1.6966,-1.0485621
"SLC1A7",0.0543,8.853e-05,5.4457798,1.6084,2.83587874
"RASL11B",0.0654,0.00011162,5.3167169,1.4068,2.27339647
"ZNF8",0.0683,0.00012166,-5.2690517,1.3316,-1.41518752
"ACE2",0.0755,0.00014008,5.1913858,1.2083,2.46197608
"CTNND2",0.0776,0.00014971,5.1549156,1.1501,2.16251969
"LMTK2",0.0789,0.00016242,5.1103424,1.0786,0.95997994
"HLA-DRB3",0.0789,0.00017317,-5.0753739,1.0224,-1.29443111
"METTL7B",0.0789,0.00017983,-5.0548508,0.9892,-2.38726421
"ETNPPL",0.0789,0.00018198,-5.0483816,0.9788,-3.09976395
"TRIM69",0.0789,0.00018204,5.0482139,0.9785,1.36807044
"USP46",0.0789,0.00018733,5.0326423,0.9533,1.11111844
"EPSTI1",0.0874,0.00021397,-4.9606104,0.8363,-0.8508922
"JAK2",0.0885,0.00022459,4.9344363,0.7936,1.54703611
"FZD3",0.0885,0.0002409,4.8966751,0.7317,1.05935691
"PRRX1",0.0885,0.00024311,4.8917635,0.7237,1.7681706
"TNMD",0.0885,0.00024457,4.8885342,0.7184,2.48784648
"ABCG1",0.0885,0.00026232,-4.8509099,0.6565,-1.70366902
"ARHGAP24",0.0885,0.0002839,4.8085604,0.5866,1.2643019
"PLCE1",0.0885,0.00028454,4.8073667,0.5847,1.27160344
"SPTBN1",0.0885,0.00028545,4.8056452,0.5818,0.93852886
"SORT1",0.0885,0.00028809,4.8007326,0.5737,1.05524642
"FABP6",0.0885,0.00029298,-4.7917269,0.5588,-1.44171196
"ZBTB47",0.0885,0.00029332,4.7911183,0.5578,1.15747077
"NECAB1",0.0885,0.00029546,4.7872385,0.5514,2.04214578
"MYOZ3",0.0998,0.00034768,4.700538,0.4072,1.8764252
"SMTNL2",0.0998,0.00035161,-4.6945668,0.3972,-1.85951799
"MUM1L1",0.1002,0.00036428,4.675786,0.3658,1.14662862
"GLDN",0.1002,0.00037714,4.6573902,0.335,1.42009661
"ENPEP",0.1002,0.0003803,-4.6529655,0.3276,-2.06792407
"CTNNA3",0.1043,0.00041009,4.6130771,0.2607,1.12252681
"MTURN",0.1081,0.00043315,4.5841884,0.212,1.11673511
"TPM3",0.1114,0.00047435,4.5363372,0.1313,2.56099119
"IGF2BP3",0.1114,0.00048318,4.5266365,0.1148,1.17858403
"CPNE4",0.1114,0.00048428,-4.5254448,0.1128,-2.49623681
"NKD2",0.1114,0.00049738,-4.51142,0.0891,-1.64968603
"RGS10",0.1114,0.00049796,-4.5108137,0.088,-1.10404508
"TCF21",0.1114,0.00049936,-4.5093367,0.0855,-1.39315423
"ARVCF",0.1114,0.00050408,4.5043921,0.0771,0.91940603
"MITF",0.1118,0.00051435,4.493813,0.0592,1.91650021
"SCML2",0.1124,0.00052544,-4.4826261,0.0402,-0.9038537
"SCRN1",0.1167,0.00055721,4.4518742,-0.0121,1.51075368
"GRK5",0.1167,0.00056259,-4.4468379,-0.0207,-0.96429872
"ATP8B4",0.1173,0.00057425,-4.4361071,-0.039,-0.99891839
"SLC9A9",0.1177,0.00058635,-4.4252103,-0.0576,-1.54241807
"NES",0.1177,0.00059755,4.4153258,-0.0744,1.5429277
"NSG1",0.1177,0.00060223,-4.4112469,-0.0814,-1.95696286
"PHLDA3",0.1177,0.00061095,4.4037471,-0.0942,0.91166994
"LSAMP",0.1277,0.00067274,-4.353521,-0.1802,-1.64155815
"VTN",0.1289,0.0006883,4.3416206,-0.2006,1.02949719
"SETBP1",0.1464,0.00079252,4.268408,-0.3266,1.62558893
"GPC1",0.1501,0.00082477,4.2477455,-0.3622,1.01037122
"CYB5R3",0.1501,0.00084059,4.2379141,-0.3792,0.87747138
"PRR16",0.1525,0.00087095,4.2195602,-0.411,1.25439946
"TMEM74B",0.153,0.0008854,-4.211052,-0.4257,-1.14307676
"TLL2",0.1551,0.00090908,4.1974151,-0.4493,1.5472574
"ZFP36",0.1594,0.000946,-4.1768624,-0.485,-1.83768791
"CEL",0.1691,0.00101578,-4.1401744,-0.5487,-2.00383359
"KBTBD12",0.1692,0.00103688,4.1295831,-0.5671,1.03022448
"RHPN2",0.1692,0.00104156,-4.1272662,-0.5711,-1.27191123
"AJUBA",0.1746,0.00109682,4.1006684,-0.6174,1.08793265
"CASQ1",0.1746,0.00110138,4.0985355,-0.6212,2.14073317
"IGSF3",0.1746,0.00112012,-4.0898644,-0.6363,-1.00994368
"FGF18",0.1746,0.00112682,4.0867988,-0.6416,1.26394834
"TRAK2",0.1748,0.00114926,4.0766673,-0.6593,0.86480394
"KCNA4",0.1748,0.00115399,4.074559,-0.663,1.35351179
"LCP2",0.1751,0.00116866,-4.0680692,-0.6743,-1.17522461
"DOCK11",0.1797,0.00121774,-4.0469545,-0.7112,-0.81006533
"CASP1",0.1797,0.00125535,-4.0313549,-0.7385,-1.02410057
"CAPN3",0.1797,0.00125918,4.0297936,-0.7412,1.85464044
"SLC25A26",0.1797,0.00127171,-4.0247181,-0.7501,-0.9593693
"ATL3",0.1797,0.001274,-4.0237964,-0.7517,-1.22421842
"ST8SIA2",0.1797,0.00128534,4.0192558,-0.7596,1.60427111
"SH3GL2",0.1797,0.00129286,4.0162673,-0.7649,1.95443907
"RGS16",0.1859,0.00135137,-3.993599,-0.8046,-1.32911343
"RAB38",0.1887,0.00138556,-3.9808099,-0.827,-0.99952121
"ELF4",0.1912,0.00143,-3.9646625,-0.8553,-1.13855151
"DACH1",0.1912,0.00143265,-3.9637189,-0.857,-1.06928685
"CHST7",0.1932,0.00146558,-3.9521016,-0.8774,-0.86607462
"RHOJ",0.1932,0.0015024,-3.9394211,-0.8996,-0.78496134
"XPO4",0.1932,0.00151796,3.9341589,-0.9089,0.7318678
"HDAC5",0.1932,0.00152801,3.9307893,-0.9148,1.62026226
"DOCK8",0.1932,0.001531,-3.9297922,-0.9166,-1.34280854
"DDR1",0.1932,0.00153323,3.9290465,-0.9179,1.04414029
"RNF115",0.1954,0.00156524,3.918499,-0.9364,0.76207239
"PYROXD1",0.2069,0.00167265,3.8846416,-0.996,1.57104492
"MTFP1",0.2154,0.00176339,-3.8577206,-1.0435,-1.17124249
"MYB",0.2154,0.00177356,-3.8547909,-1.0486,-2.17998195
"CLEC1A",0.2164,0.00181059,-3.8442697,-1.0672,-0.84420138
"FGL2",0.2164,0.00182264,-3.8408938,-1.0731,-1.55202245
"KCTD2",0.2164,0.00183008,3.8388182,-1.0768,0.73740139
"PKLR",0.219,0.00191315,3.8162312,-1.1167,1.18826708
"HFE2",0.219,0.001934,3.8107177,-1.1264,1.32176915
"IL1R1",0.219,0.00193806,-3.8096518,-1.1283,-1.30251009
"PRRT3",0.219,0.00193934,3.8093156,-1.1289,1.05628856
"CYP26B1",0.219,0.00194204,3.8086065,-1.1302,1.93282973
"MAPK12",0.2269,0.00203614,3.7845542,-1.1727,1.17439926
"FSTL3",0.2279,0.00206261,3.7779914,-1.1843,1.35700291
"SLC38A6",0.2366,0.0021678,-3.7527267,-1.229,-0.89835121
"OR52E6",0.2366,0.00217632,-3.7507356,-1.2325,-1.03328023
"PYGB",0.2403,0.00222822,3.7387741,-1.2537,1.25433032
"RUNX3",0.2406,0.00225916,-3.7317749,-1.2661,-1.75306755
"YPEL2",0.2406,0.00226766,3.729871,-1.2694,0.74944938
"SLC2A5",0.2406,0.00229127,-3.724615,-1.2788,-1.22858827
"C9orf40",0.2406,0.00231124,-3.7202118,-1.2866,-0.92626937
"ATP1A2",0.2406,0.00232062,3.7181592,-1.2902,1.12413835
"MYO16",0.2411,0.00234268,3.7133597,-1.2987,1.29376525
"TNNT1",0.2516,0.0024904,3.68236,-1.3537,1.50432302
"DTD2",0.2516,0.00250039,3.6803315,-1.3573,1.32571545
"LRRC8C",0.2601,0.00260446,-3.6596722,-1.3939,-1.13108263
"STX19",0.2624,0.00264716,3.6514377,-1.4085,1.38668371
"NCF4",0.2633,0.00271675,-3.6382993,-1.4319,-2.12490029
"CACUL1",0.2633,0.00271925,3.6378334,-1.4327,1.23788437
"CHRM2",0.2633,0.00274212,3.6335931,-1.4402,1.13896652
"MPPE1",0.2633,0.00275371,3.6314579,-1.444,0.88208377
"HEPH",0.2639,0.00278385,3.6259493,-1.4538,1.40494087
"HSPA1L",0.2639,0.00279919,3.6231671,-1.4587,0.74766351
"COL23A1",0.2764,0.00295219,3.5962422,-1.5066,1.77258136
"KLHL34",0.2792,0.00302344,3.5841819,-1.528,1.67864485
"AMBRA1",0.2792,0.00303412,3.5823987,-1.5312,0.9825686
"POC5",0.2792,0.00304432,3.580702,-1.5342,0.86491842
"TMEM246",0.2802,0.003078,3.575139,-1.5441,0.80811893
"PLEKHA4",0.2802,0.00310187,3.5712328,-1.551,1.42864463
"DIO2",0.2802,0.0031621,3.5615113,-1.5683,1.44178884
"TBX3",0.2802,0.00317592,3.5593073,-1.5722,0.92481826
"ZNHIT2",0.2802,0.0031942,3.5564063,-1.5774,0.94281758
"KAT6B",0.2802,0.00319518,3.5562514,-1.5777,1.31695409
"IQCE",0.2802,0.00321665,3.5528656,-1.5837,1.12282121
"POLE2",0.2802,0.00324241,-3.5488355,-1.5909,-1.03901981
"SMPD1",0.2802,0.00324252,3.5488179,-1.5909,0.74880557
"PAQR8",0.2816,0.00330263,3.5395359,-1.6074,1.65548186
"CACHD1",0.2816,0.00332366,-3.536329,-1.6131,-1.08146256
"IRX6",0.2816,0.00335282,3.5319157,-1.621,1.76974755
"FZD2",0.2816,0.0033548,3.5316173,-1.6215,0.98346352
"FAM129A",0.2816,0.00336257,3.5304486,-1.6236,0.81679581
"ADORA2A",0.2908,0.00351505,-3.5080465,-1.6634,-0.89446342
"NR3C1",0.2908,0.00353808,-3.5047483,-1.6693,-1.00174499
"KLF2",0.2908,0.00355279,-3.5026528,-1.673,-0.76387526
