"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FGF12",-4.66243095832363,3.95133541126927,-19.9569721817597,7.27402814025865e-09,0.000110856188857542,9.88187441992312
"SCUBE2",2.91023363969105,0.625350395329507,13.0305045664973,3.19424660685736e-07,0.00106991694787488,7.09705404233027
"MAP3K7CL",3.88380971799643,2.46269263071588,12.9875393427035,3.28774630035904e-07,0.00106991694787488,7.07307815771879
"KLHL31",-1.52127285572705,5.80612911811723,-12.9274916985281,3.4235206992569e-07,0.00106991694787488,7.03938788205157
"PPIL1",-1.6279659590473,4.77186244700707,-12.6327825026492,4.18613668821789e-07,0.00106991694787488,6.87091036600453
"ACE2",1.75882657530818,4.17481695047288,12.6237596287355,4.21227144832631e-07,0.00106991694787488,6.86566891030949
"CORIN",-4.2184694533662,2.93505527025871,-11.7986435446456,7.57417865970307e-07,0.00164900689676964,6.36435271436117
"C14orf132",3.09655067743424,1.4980637600051,11.4544282987571,9.78042836367384e-07,0.00165937610523971,6.14165433502017
"QPCT",2.38506604152266,1.352794517832,11.4518443881743,9.79946518842348e-07,0.00165937610523971,6.13995079471151
"F2R",2.44471645382837,4.087385499083,11.1932027635989,1.19287396728604e-06,0.00181793992614392,5.96696575198703
"RASL11B",2.09655754499225,2.8789147291783,10.8679173696304,1.53630712966679e-06,0.00182187594943295,5.74228646750023
"RTN4",1.49139121700006,5.48303430629794,10.8498072756716,1.55840245508607e-06,0.00182187594943295,5.72953788070499
"SLITRK4",3.16729561560594,1.00960867533663,10.7707914734474,1.65898804464245e-06,0.00182187594943295,5.67361317707331
"ITGA10",2.76128039539861,0.415561867027235,10.7597237097705,1.67363932362607e-06,0.00182187594943295,5.66574041204364
"KCNIP2",-3.73907339797912,3.96470015174105,-10.4750152765495,2.1041636620063e-06,0.00208837140255433,5.45983615501437
"SRGAP1",1.08539448367514,0.923769949918838,10.3578541414353,2.31562704131122e-06,0.00208837140255433,5.37317494083446
"CA14",-4.03717372477986,1.12408454512612,-10.3103823531656,2.40787992336937e-06,0.00208837140255433,5.33773426683418
"RBFOX1",-1.3639605032496,3.55599287882959,-10.2514996916384,2.5279728689248e-06,0.00208837140255433,5.29350991845518
