"","adj.P.Val","P.Value","t","B","logFC"
"SNRPE",2.05e-06,1.34e-08,-11.552461,10.21342,-2.3462841
"RPL7",2.07e-06,1.38e-08,-11.525073,10.18301,-2.6547368
"PPA1",2.19e-06,1.48e-08,-11.462238,10.11297,-1.9224626
"ITGA4",2.24e-06,1.55e-08,-11.423858,10.07002,-1.5633228
"LOC100129675",2.33e-06,1.64e-08,11.3735,10.01346,1.3287532
"SNRPB2",2.35e-06,1.67e-08,-11.35566,9.99337,-1.540295
"CDC5L",2.4e-06,1.72e-08,-11.330667,9.96517,-1.2546851
"CCDC121",2.46e-06,1.8e-08,-11.289935,9.9191,-1.3568512
"BUD31",2.46e-06,1.82e-08,-11.280669,9.9086,-1.4115813
"TMEM126B",2.49e-06,1.87e-08,-11.257154,9.88191,-1.3916811
"SUPT3H",2.49e-06,1.87e-08,11.254524,9.87892,1.6697933
"LSM5",2.55e-06,1.93e-08,-11.22689,9.84749,-2.2790994
"SREBF1",2.62e-06,2.02e-08,11.187359,9.80239,1.5200982
"SSH1",2.64e-06,2.06e-08,11.172647,9.78558,1.521055
"SDCCAG8",2.67e-06,2.1e-08,-11.15475,9.76509,-1.6038767
"PDE4DIP",2.72e-06,2.16e-08,11.13125,9.73814,1.4701244
"RPL6",2.75e-06,2.21e-08,-11.110319,9.7141,-2.1169369
"HMGB1",2.75e-06,2.23e-08,-11.104458,9.70736,-1.4008904
"HEMGN",2.78e-06,2.29e-08,11.081182,9.68056,2.2938463
"UQCRH",2.78e-06,2.3e-08,-11.074973,9.67341,-2.9125257
"HSBP1",2.97e-06,2.5e-08,-11.003695,9.59098,-1.4785491
"KCNN2",2.97e-06,2.55e-08,10.987653,9.57237,2.4105802
"AAK1",3.03e-06,2.62e-08,10.96216,9.54274,1.5449122
"SPOP",3.03e-06,2.66e-08,-10.951044,9.52979,-1.2999492
"UPF1",3.1e-06,2.77e-08,-10.91589,9.48879,-1.4819529
"BRMS1",3.17e-06,2.87e-08,-10.884743,9.45236,-1.2240004
"METTL19",3.18e-06,2.91e-08,10.875151,9.44113,1.3264227
"COX7A2",3.26e-06,3.03e-08,-10.840235,9.40015,-2.7030395
"TRPC3",3.32e-06,3.11e-08,10.817912,9.37389,1.2801294
"MRFAP1",3.36e-06,3.17e-08,-10.801534,9.35459,-1.2400284
"RHOT2",3.37e-06,3.2e-08,-10.793011,9.34454,-1.4925057
"FBXO7",3.45e-06,3.4e-08,10.742309,9.28459,2.2191559
"XLOC_003204",3.47e-06,3.47e-08,10.725292,9.26441,1.384315
"NOP10",3.47e-06,3.49e-08,-10.7188,9.25671,-2.1092178
"HMGB2",3.7e-06,3.77e-08,-10.654664,9.18037,-2.5947732
"ZNF143",3.71e-06,3.8e-08,-10.64706,9.17129,-1.1359426
"GAA",3.75e-06,3.88e-08,-10.631317,9.15248,-1.5580914
"C8orf40",3.84e-06,4.05e-08,-10.595276,9.10932,-1.8086835
"GNG13",3.93e-06,4.24e-08,10.556938,9.06327,1.2502732
"POLE4",3.93e-06,4.25e-08,-10.554116,9.05987,-1.7786709
"BRD3",4.03e-06,4.45e-08,-10.516318,9.01432,-1.4900563
"ADIPOR1",4.14e-06,4.72e-08,10.467261,8.95498,1.8932048
"TARS2",4.34e-06,5.07e-08,-10.408827,8.88398,-1.3666932
"MED1",4.34e-06,5.08e-08,-10.406171,8.88074,-1.192925
"IGBP1",4.34e-06,5.09e-08,-10.404287,8.87845,-1.3733713
"ARSD",4.47e-06,5.28e-08,-10.374094,8.84161,-1.1962105
"IGFL3",4.62e-06,5.53e-08,10.337513,8.79686,1.91821
"RPF1",4.98e-06,6.12e-08,-10.253586,8.69367,-1.6394753
"EIF2S2",4.98e-06,6.13e-08,-10.253122,8.6931,-1.2165504
"RBM3",5.01e-06,6.27e-08,-10.233727,8.66915,-1.3073731
"XLOC_l2_009184",5.01e-06,6.29e-08,-10.232219,8.66728,-2.9591131
"RPL22",5.01e-06,6.3e-08,-10.230979,8.66575,-2.5711166
"RPL23",5.01e-06,6.31e-08,-10.229555,8.66399,-2.9341209
"LOC100653063",5.04e-06,6.42e-08,10.215099,8.64611,1.4936967
"CPSF3L",5.24e-06,6.73e-08,-10.177017,8.59889,-1.2029279
"UQCRQ",5.28e-06,6.88e-08,-10.158907,8.57639,-2.7154851
"TMEM59",5.28e-06,7.03e-08,-10.14189,8.55521,-1.388656
"OR5B21",5.28e-06,7.05e-08,10.13885,8.55142,1.5120741
"LOC100131581",5.28e-06,7.11e-08,10.131911,8.54277,1.5032864
"CSRP2",5.28e-06,7.13e-08,10.129912,8.54028,1.0998353
"TMEM93",5.28e-06,7.13e-08,-10.12965,8.53996,-1.3802829
"BRD7",5.41e-06,7.39e-08,10.101747,8.50513,1.0433804
"SET",5.44e-06,7.53e-08,-10.085726,8.48509,-1.3408492
"CAPZB",5.44e-06,7.58e-08,10.080862,8.47901,1.844792
"MRPL24",5.48e-06,7.67e-08,-10.070981,8.46663,-1.2574852
"GIMAP7",5.52e-06,7.76e-08,-10.061525,8.45478,-1.8682372
"AP1B1",5.53e-06,7.93e-08,-10.044476,8.43339,-1.3961852
"C17orf89",5.53e-06,7.94e-08,-10.043597,8.43228,-2.1292139
"RPL5",5.53e-06,7.98e-08,-10.040079,8.42787,-1.5335688
"EIF2AK4",5.53e-06,8.05e-08,-10.032846,8.41878,-1.1740633
"RPS3A",5.54e-06,8.12e-08,-10.025642,8.40972,-2.7639528
"UNC80",5.54e-06,8.14e-08,10.024055,8.40772,1.4879314
"LOC375190",5.6e-06,8.27e-08,-10.011378,8.39177,-1.3164252
"PNKD",5.61e-06,8.33e-08,-10.005443,8.38429,-1.5365719
"XRCC4",5.61e-06,8.36e-08,-10.00225,8.38027,-1.6896841
"PPP1R26",5.82e-06,8.83e-08,9.958586,8.32515,1.1354035
"RPL39",5.84e-06,8.91e-08,-9.951696,8.31643,-2.2394326
"PTPRA",5.93e-06,9.09e-08,-9.935742,8.29623,-1.1796722
"C19orf70",5.98e-06,9.32e-08,-9.9158,8.27093,-1.5909652
"NDUFB2",5.98e-06,9.43e-08,-9.906854,8.25958,-2.3679674
"LZIC",6.01e-06,9.5e-08,-9.900542,8.25156,-1.3632486
"LOC100128386",6.01e-06,9.55e-08,9.896257,8.24611,0.9834998
"MRPS7",6.04e-06,9.67e-08,-9.886534,8.23374,-2.3336769
"PCGF5",6.15e-06,9.9e-08,9.868316,8.21054,2.4612197
"NME1",6.23e-06,1.01e-07,-9.854248,8.1926,-1.5880414
"LOC440082",6.3e-06,1.03e-07,9.838939,8.17305,1.206777
"BLOC1S2",6.3e-06,1.03e-07,-9.836906,8.17046,-1.9381029
"KCTD12",6.39e-06,1.05e-07,-9.820028,8.14887,-1.4228912
"WDR44",6.55e-06,1.09e-07,-9.794118,8.11568,-1.1143578
"ELAC2",6.55e-06,1.1e-07,-9.788266,8.10817,-1.5083313
"ACOT13",6.63e-06,1.12e-07,-9.768095,8.08227,-0.9408379
"KRT18",6.65e-06,1.13e-07,9.76265,8.07527,1.530354
"LOC100127904",6.66e-06,1.14e-07,9.758414,8.06982,1.3819469
"PARL",6.93e-06,1.19e-07,-9.72049,8.02096,-1.8315108
"LAMA3",7e-06,1.21e-07,9.709232,8.00643,1.3312357
"RPL21",7.07e-06,1.24e-07,-9.69211,7.98429,-2.0252526
"MRPL46",7.13e-06,1.26e-07,-9.678812,7.96708,-1.2167807
"CCDC12",7.13e-06,1.26e-07,-9.676573,7.96418,-1.2247636
"NAA10",7.13e-06,1.26e-07,-9.676113,7.96358,-1.4797429
"CSDE1",7.15e-06,1.27e-07,-9.671598,7.95774,-1.0957645
"SCP2",7.24e-06,1.3e-07,-9.65504,7.93626,-1.2707249
"GPR52",7.39e-06,1.33e-07,9.636506,7.91219,1.6587264
"FAM76A",7.48e-06,1.35e-07,-9.623572,7.89537,-0.9467535
"KCNQ1",7.51e-06,1.36e-07,-9.617851,7.88793,-1.340824
"DAPK3",7.57e-06,1.38e-07,-9.605684,7.87208,-1.0667113
"SF3B2",7.66e-06,1.41e-07,-9.593502,7.8562,-1.1050296
"UFD1L",7.98e-06,1.48e-07,-9.553048,7.80333,-1.3788783
"LAMP1",7.98e-06,1.49e-07,-9.546333,7.79454,-1.1415375
"CNOT10",7.98e-06,1.5e-07,-9.544813,7.79255,-1.0583944
"GPR21",8e-06,1.51e-07,9.536904,7.78219,1.4827197
"UFM1",8.02e-06,1.53e-07,-9.530537,7.77384,-1.7187444
"UQCR10",8.02e-06,1.53e-07,-9.529376,7.77231,-1.6034706
"WDR45L",8.15e-06,1.57e-07,-9.507254,7.74327,-1.5320739
"CCDC72",8.15e-06,1.57e-07,-9.506962,7.74289,-1.7238221
"CASC4",8.15e-06,1.58e-07,-9.505597,7.74109,-1.4090774
"ZNF81",8.18e-06,1.59e-07,9.496869,7.72962,1.1814348
"C1orf131",8.18e-06,1.6e-07,-9.494648,7.7267,-1.7738739
"SPON2",8.18e-06,1.6e-07,-9.491618,7.72271,-2.3363195
"C14orf45",8.35e-06,1.65e-07,9.470558,7.69497,2.4089726
"MYL6",8.35e-06,1.66e-07,-9.467238,7.6906,-1.7292273
"NUDC",8.38e-06,1.69e-07,-9.451119,7.66933,-1.2322785
"PHF20",8.39e-06,1.7e-07,-9.446551,7.66329,-1.2729486
"CHCHD1",8.39e-06,1.71e-07,-9.443845,7.65972,-1.6654454
"PLEKHB2",8.39e-06,1.71e-07,-9.442942,7.65853,-1.1590172
"XLOC_l2_001889",8.44e-06,1.74e-07,9.429141,7.64028,1.9301631
"CYP21A2",8.44e-06,1.74e-07,9.427541,7.63816,0.9783418
"C19orf6",8.51e-06,1.77e-07,-9.418414,7.62608,-1.2903049
"GUK1",8.79e-06,1.84e-07,9.386634,7.58394,1.8686106
"XLOC_l2_014197",8.93e-06,1.89e-07,-9.366229,7.55683,-1.1811156
"LOC100130741",9.32e-06,2e-07,9.321847,7.49769,1.2588566
"XLOC_013043",9.66e-06,2.1e-07,9.287093,7.45122,1.023123
"ASCC2",9.66e-06,2.11e-07,9.283052,7.4458,1.8365323
"NDUFAF1",9.67e-06,2.14e-07,-9.272038,7.43104,-1.0450116
"HNRNPF",9.67e-06,2.15e-07,-9.267538,7.42501,-0.9687662
"TRIM10",9.67e-06,2.16e-07,9.266739,7.42394,1.4983564
"LINC00085",9.67e-06,2.18e-07,9.259614,7.41438,1.4584915
"CCM2",9.67e-06,2.18e-07,-9.257917,7.4121,-1.2031916
"THOC7",9.67e-06,2.18e-07,-9.256991,7.41086,-1.2722067
"UTRN",9.9e-06,2.28e-07,-9.226155,7.3694,-0.957459
"OSBP2",9.9e-06,2.28e-07,9.225298,7.36825,3.3149125
"FAU",9.9e-06,2.29e-07,-9.221842,7.3636,-1.3542134
"EPB49",9.9e-06,2.29e-07,9.221341,7.36292,1.0697099
"P2RY14",1e-05,2.32e-07,-9.211892,7.35019,-2.1591864
"RAN",1.02e-05,2.4e-07,-9.184977,7.31387,-1.3150372
"PIN1",1.05e-05,2.48e-07,-9.162316,7.28323,-1.2322723
"ATP5C1",1.06e-05,2.52e-07,-9.151072,7.26801,-1.3303429
"PLD4",1.07e-05,2.54e-07,-9.14437,7.25892,-1.2913119
"RPTOR",1.07e-05,2.56e-07,-9.137746,7.24994,-1.4089326
"C9orf85",1.08e-05,2.58e-07,-9.133403,7.24405,-1.2906353
"SCFD1",1.09e-05,2.63e-07,-9.118004,7.22314,-1.4552703
"RPL35",1.09e-05,2.63e-07,-9.11711,7.22193,-2.0472016
"ODF2",1.1e-05,2.66e-07,-9.109439,7.2115,-0.9672389
"INO80E",1.1e-05,2.67e-07,-9.105822,7.20658,-1.2403765
"BAZ1B",1.1e-05,2.69e-07,-9.100734,7.19966,-1.045839
"NFE2L1",1.12e-05,2.77e-07,-9.079996,7.17142,-1.0287869
"LOC100128670",1.12e-05,2.77e-07,9.078155,7.16891,1.5666282
"ZNF211",1.16e-05,2.88e-07,-9.049369,7.12961,-1.0899876
"RPL29",1.16e-05,2.91e-07,-9.042491,7.12021,-1.3785518
"RPL24",1.16e-05,2.94e-07,-9.035589,7.11077,-2.1381802
"ZBTB8OS",1.2e-05,3.06e-07,-9.006194,7.0705,-1.4788282
"SRP14",1.22e-05,3.11e-07,-8.993066,7.05248,-1.7456739
"NSA2",1.22e-05,3.12e-07,-8.990954,7.04958,-1.4632477
"COL5A1",1.22e-05,3.16e-07,8.981258,7.03625,1.3175751
"DNAJC21",1.22e-05,3.16e-07,-8.980823,7.03565,-1.230337
"RPL9",1.22e-05,3.17e-07,-8.979995,7.03452,-2.4095213
"C4orf3",1.22e-05,3.17e-07,-8.97877,7.03283,-1.3526484
"C9orf21",1.22e-05,3.18e-07,-8.977037,7.03045,-1.2408056
"LOC645261",1.23e-05,3.21e-07,8.969781,7.02047,1.1738653
"FLJ33065",1.23e-05,3.21e-07,8.969159,7.01961,1.3475608
"C9orf173",1.24e-05,3.27e-07,8.956604,7.00232,1.2308046
"OR9H1P",1.25e-05,3.32e-07,8.945924,6.9876,1.3957792
"MGC12488",1.27e-05,3.38e-07,8.931382,6.96754,0.9974479
"LOC100131860",1.27e-05,3.39e-07,8.92895,6.96418,1.5829935
"EIF4G2",1.27e-05,3.4e-07,-8.928212,6.96316,-0.9610596
"LAMTOR3",1.27e-05,3.41e-07,-8.925285,6.95912,-1.3866573
"KHSRP",1.28e-05,3.46e-07,-8.914265,6.94389,-1.1025729
"LOC100132005",1.31e-05,3.56e-07,8.894265,6.91621,1.1685803
"NEDD8",1.31e-05,3.58e-07,-8.890241,6.91063,-1.4448119
"FAM96B",1.32e-05,3.61e-07,-8.884349,6.90247,-1.3635004
"BCL7B",1.32e-05,3.62e-07,-8.881523,6.89855,-1.3621007
"CUL4B",1.34e-05,3.68e-07,-8.868967,6.88113,-1.2217006
"NDUFA4",1.34e-05,3.7e-07,-8.866171,6.87725,-2.2086835
"BCL2A1",1.34e-05,3.75e-07,-8.856366,6.86363,-2.2401298
"RHOXF2",1.34e-05,3.76e-07,8.853874,6.86016,1.0858992
"ATG4B",1.34e-05,3.79e-07,-8.848691,6.85296,-0.930348
"PAK1IP1",1.34e-05,3.8e-07,-8.846141,6.84941,-1.5285596
"GTF2A2",1.34e-05,3.81e-07,-8.845324,6.84827,-1.1223855
"PTPN11",1.35e-05,3.87e-07,-8.832595,6.83056,-1.0126734
"GLRX2",1.37e-05,3.92e-07,-8.823663,6.81812,-1.2203738
"TMEM107",1.39e-05,4.01e-07,-8.808195,6.79655,-1.3744769
"SYTL1",1.39e-05,4.04e-07,-8.802447,6.78852,-1.2880008
"MMGT1",1.39e-05,4.04e-07,-8.801541,6.78726,-1.4656195
"SNAPC5",1.39e-05,4.05e-07,-8.800132,6.78529,-1.2104648
"VBP1",1.4e-05,4.08e-07,-8.795351,6.77861,-1.3368969
"RPS23",1.42e-05,4.15e-07,-8.78168,6.7595,-1.6195268
"C17orf109",1.43e-05,4.18e-07,8.776505,6.75226,1.1758072
"SF3B5",1.44e-05,4.24e-07,-8.766979,6.73893,-1.5177171
"CTSZ",1.44e-05,4.25e-07,-8.765538,6.73691,-1.6094522
"RBM38",1.44e-05,4.25e-07,8.764811,6.73589,1.8920514
"LRRC36",1.46e-05,4.34e-07,8.749131,6.71391,1.0902943
"SIM1",1.46e-05,4.36e-07,8.74633,6.70998,0.9149176
"MRPL32",1.46e-05,4.36e-07,-8.745806,6.70925,-1.9092522
"TMEM18",1.48e-05,4.44e-07,-8.734108,6.69283,-1.325272
"7-Sep",1.48e-05,4.44e-07,-8.733588,6.6921,-1.1435376
"GPR75",1.48e-05,4.46e-07,8.730555,6.68784,1.27248
"HGSNAT",1.48e-05,4.47e-07,-8.727958,6.68419,-1.0795875
"ZNF32",1.5e-05,4.57e-07,-8.713219,6.66346,-1.6639417
"TRIP12",1.5e-05,4.57e-07,8.711895,6.6616,1.0999346
"PPP6R3",1.52e-05,4.63e-07,-8.702764,6.64875,-1.1546451
"XLOC_l2_011987",1.52e-05,4.64e-07,8.701213,6.64656,1.3295522
"TMEM167A",1.53e-05,4.73e-07,-8.68756,6.62732,-1.4998992
"ZNF622",1.54e-05,4.77e-07,-8.682136,6.61967,-1.0185042
"RPL30",1.56e-05,4.9e-07,-8.662999,6.59265,-1.3301052
"COA5",1.6e-05,5.03e-07,-8.642962,6.56431,-1.3316551
"UROC1",1.6e-05,5.04e-07,8.641629,6.56243,2.3961627
"PPP1R8",1.6e-05,5.05e-07,-8.64098,6.56151,-1.446541
"ZNF511",1.6e-05,5.07e-07,-8.638048,6.55735,-1.2245787
"MRPL21",1.64e-05,5.2e-07,-8.619712,6.53137,-1.4203132
"ZCRB1",1.64e-05,5.22e-07,-8.617413,6.52811,-1.9362767
"BCLAF1",1.64e-05,5.23e-07,-8.615487,6.52537,-0.8715688
"EIF3E",1.64e-05,5.25e-07,-8.613064,6.52194,-2.2131916
"XLOC_006273",1.66e-05,5.32e-07,8.603654,6.50857,1.0665246
"CBX3",1.67e-05,5.39e-07,-8.594502,6.49557,-1.8005899
"MANF",1.67e-05,5.42e-07,-8.589845,6.48895,-1.4176267
"RNF7",1.67e-05,5.43e-07,-8.588941,6.48766,-1.4882565
"C1orf52",1.67e-05,5.43e-07,8.588884,6.48758,1.4329214
"CAPZA2",1.67e-05,5.44e-07,-8.588111,6.48648,-1.285526
"FHL2",1.67e-05,5.49e-07,8.581126,6.47654,0.9268776
"MUS81",1.68e-05,5.54e-07,-8.574977,6.46779,-1.4376495
"DIAPH1",1.71e-05,5.65e-07,-8.560799,6.44759,-1.2909928
"GZMA",1.71e-05,5.68e-07,-8.556463,6.44141,-2.521582
"PRR20B",1.71e-05,5.69e-07,8.555767,6.44041,1.326166
"FLJ44674",1.71e-05,5.73e-07,8.550003,6.43219,0.8848829
"RPS20",1.73e-05,5.83e-07,-8.538017,6.41508,-1.4805033
"RPS10",1.75e-05,5.91e-07,-8.528714,6.40178,-1.6897227
"IK",1.77e-05,6e-07,-8.517945,6.38638,-0.9859637
"C18orf32",1.77e-05,6.01e-07,-8.516173,6.38384,-1.3799484
"XLOC_l2_008609",1.77e-05,6.03e-07,8.513742,6.38036,1.0525024
"AK1",1.78e-05,6.08e-07,8.508854,6.37337,1.2539181
"PPID",1.79e-05,6.15e-07,-8.500051,6.36075,-1.3305319
"BAD",1.81e-05,6.25e-07,8.489368,6.34544,1.1033789
"AUH",1.82e-05,6.32e-07,-8.481102,6.33357,-0.9699625
"CLSTN1",1.82e-05,6.32e-07,-8.481059,6.33351,-1.3619142
"POU5F2",1.82e-05,6.34e-07,8.47919,6.33083,1.6934883
"CAPN10",1.82e-05,6.37e-07,-8.475566,6.32562,-1.7835942
"EAPP",1.83e-05,6.41e-07,-8.47046,6.31829,-2.0467298
"CHN2",1.85e-05,6.5e-07,8.460735,6.30431,0.9463768
"FAM22D",1.89e-05,6.64e-07,8.445673,6.28263,1.2025107
"DGKQ",1.89e-05,6.66e-07,-8.443791,6.27992,-1.3023196
"METAP2",1.89e-05,6.67e-07,-8.442737,6.2784,-1.7016936
"XLOC_l2_013052",1.91e-05,6.79e-07,8.429973,6.26001,0.9389848
"SCGN",1.91e-05,6.79e-07,8.429893,6.25989,0.8508281
"LOC100130175",1.92e-05,6.87e-07,8.422281,6.24891,0.9772971
"ARL4C",1.92e-05,6.87e-07,-8.422096,6.24865,-1.511736
"KRTAP12-2",1.93e-05,6.92e-07,8.41663,6.24076,0.936297
"RBM27",1.93e-05,6.93e-07,-8.415578,6.23924,-1.0947996
"MDH1",1.94e-05,6.97e-07,-8.412104,6.23422,-1.8385187
"SPPL2A",1.94e-05,7e-07,-8.408664,6.22925,-1.2013432
"ZZEF1",1.95e-05,7.04e-07,-8.405235,6.2243,-1.3125078
"C17orf108",1.95e-05,7.04e-07,-8.404975,6.22392,-1.7346014
"LOC100128869",1.95e-05,7.05e-07,8.403747,6.22215,1.8036048
"LSM6",1.95e-05,7.09e-07,-8.399826,6.21648,-2.0543133
"C19orf43",1.96e-05,7.15e-07,-8.393471,6.20729,-1.1709873
"ZC3H4",1.99e-05,7.3e-07,-8.379502,6.18707,-0.8613752
"APPL1",1.99e-05,7.32e-07,-8.377594,6.18431,-1.0979921
"RPL35A",1.99e-05,7.32e-07,-8.37708,6.18356,-1.7628313
"LOC100130430",1.99e-05,7.37e-07,8.373003,6.17766,1.0751734
"OSBPL5",1.99e-05,7.38e-07,-8.37132,6.17522,-1.167248
"KPNA4",1.99e-05,7.41e-07,-8.368414,6.171,-1.2630292
"RPL36A-HNRNPH2",1.99e-05,7.42e-07,-8.368128,6.17059,-1.0663259
"GADD45B",1.99e-05,7.43e-07,-8.366626,6.16841,-1.4850551
"GNPTAB",2e-05,7.5e-07,-8.359867,6.15861,-1.8805459
"CTNNBL1",2e-05,7.52e-07,-8.358233,6.15624,-1.0801682
"EIF2A",2.01e-05,7.56e-07,-8.354606,6.15097,-1.5641377
"PIP4K2A",2.01e-05,7.58e-07,8.353138,6.14884,1.8007541
"RELL1",2.01e-05,7.61e-07,-8.349775,6.14396,-1.9155061
"DHX58",2.01e-05,7.66e-07,-8.34548,6.13772,-1.2902882
"HAT1",2.01e-05,7.68e-07,-8.343688,6.13512,-1.7019517
"GLUD1",2.02e-05,7.76e-07,-8.336884,6.12523,-1.5274672
"EIF3M",2.04e-05,7.85e-07,-8.328789,6.11346,-1.5079683
"RPS15A",2.04e-05,7.86e-07,-8.327333,6.11134,-2.1779092
"LOC100132147",2.04e-05,7.86e-07,8.327221,6.11118,1.4163741
"HMGN5",2.06e-05,7.98e-07,-8.316539,6.09563,-1.2402862
"XLOC_l2_010228",2.06e-05,8e-07,8.315251,6.09375,0.8931283
"NUP155",2.06e-05,8.01e-07,-8.314398,6.09251,-0.9820537
"EMX1",2.09e-05,8.19e-07,8.29913,6.07026,1.0201932
"BRCC3",2.1e-05,8.24e-07,-8.294703,6.0638,-1.3094086
"SS18",2.13e-05,8.38e-07,-8.283185,6.04699,-1.9263653
"RPS29",2.13e-05,8.41e-07,-8.280442,6.04298,-2.1150038
"STARD7",2.15e-05,8.52e-07,-8.27162,6.03009,-1.5087686
"LOC645553",2.15e-05,8.58e-07,8.266077,6.02198,1.0698883
"ZIM2",2.16e-05,8.65e-07,8.260473,6.01378,1.2855801
"Q59GX9",2.16e-05,8.69e-07,-8.257496,6.00943,-1.5432184
"VMA21",2.2e-05,8.84e-07,-8.245551,5.99193,-1.3773995
"GFOD1",2.21e-05,8.91e-07,-8.239825,5.98354,-1.1405574
"SLC12A8",2.21e-05,8.94e-07,8.237865,5.98067,0.8272516
"FBXW11",2.21e-05,8.97e-07,-8.235763,5.97759,-1.5531717
"EIF2AK1",2.21e-05,8.97e-07,8.23532,5.97694,1.2777597
"MRPL53",2.22e-05,9.02e-07,-8.231313,5.97106,-1.0337694
"NAT1",2.24e-05,9.12e-07,-8.223727,5.95993,-1.2578845
"MRPL15",2.26e-05,9.24e-07,-8.214985,5.94709,-1.3339894
"TMEM14B",2.26e-05,9.28e-07,-8.212223,5.94303,-0.9232935
"SNX14",2.28e-05,9.34e-07,-8.20721,5.93566,-1.1870938
