"","adj.P.Val","P.Value","t","B","logFC"
"SLC25A39",4.48e-09,3.15e-13,25.438683,20.02979,3.9951349
"STRADB",1.3e-08,2.52e-12,21.888694,18.28153,3.8889436
"SELENBP1",1.3e-08,2.73e-12,21.759406,18.21074,4.9610116
"HBM",5.91e-08,2.35e-11,18.599133,16.29337,3.9508596
"PLAC4",5.91e-08,2.49e-11,18.520207,16.24042,2.8748853
"EPB42",7.46e-08,4.19e-11,17.826866,15.76342,4.3386562
"BCL2L1",9.21e-08,5.83e-11,17.400755,15.45929,3.4758746
"SLC4A1",9.73e-08,6.84e-11,17.196379,15.31033,3.2629111
"HBA2",1.08e-07,1.08e-10,16.623257,14.88151,2.2382608
"LOC100506767",1.08e-07,1.1e-10,16.607034,14.86913,3.6608173
"CA1",1.08e-07,1.14e-10,16.564557,14.83664,4.4674363
"RPL26",2.5e-07,3.61e-10,-15.200047,13.74063,-3.3643368
"SLC6A8",2.5e-07,3.69e-10,15.175382,13.71984,2.1549928
"C11orf51",2.52e-07,3.9e-10,-15.112546,13.6667,-2.0550882
"RPS24",2.69e-07,4.34e-10,-14.991755,13.56388,-3.3551327
"NDUFA6",3.36e-07,5.66e-10,-14.697027,13.30924,-2.24163
"TNS1",3.6e-07,6.47e-10,14.551198,13.18123,4.193093
"LSM3",3.6e-07,6.58e-10,-14.532928,13.16509,-2.7807161
"ACTR3C",4.74e-07,9.99e-10,14.084472,12.76226,1.8608909
"UBL5",4.74e-07,1e-09,-14.082856,12.76079,-2.1163111
"HIST1H1C",4.96e-07,1.08e-09,-14.00121,12.686,-1.9716312
"NCAM1",5.68e-07,1.32e-09,-13.789905,12.49034,-1.9679105
"ZMYND17",6.12e-07,1.56e-09,-13.619717,12.3305,-2.8189716
"NDUFA8",6.12e-07,1.59e-09,-13.59764,12.30962,-1.4802547
"TAX1BP1",6.4e-07,1.73e-09,-13.513746,12.22995,-1.4984972
"IGF2BP2",6.4e-07,1.83e-09,13.452473,12.17144,2.4112129
"UBXN6",6.4e-07,1.85e-09,13.4454,12.16467,1.9753341
"TROAP",6.4e-07,1.97e-09,13.380383,12.10225,4.49355
"ERH",6.4e-07,1.98e-09,-13.374557,12.09664,-2.1808899
"LOC100128402",6.85e-07,2.22e-09,13.261213,11.98706,1.7020069
"CSDA",7.14e-07,2.36e-09,13.198169,11.92569,2.1801024
"PFDN5",7.14e-07,2.46e-09,-13.154862,11.88337,-3.0293413
"AP3S1",7.14e-07,2.51e-09,-13.135786,11.86468,-1.7142257
"AAGAB",7.15e-07,2.56e-09,-13.115008,11.8443,-1.351225
"SSB",8.43e-07,3.14e-09,-12.914076,11.6455,-2.0781875
"ISY1",8.65e-07,3.3e-09,-12.866196,11.59767,-1.5209752
"LARP7",8.75e-07,3.51e-09,-12.805688,11.53698,-2.1595845
"COMMD6",9.37e-07,3.89e-09,-12.705472,11.43584,-4.0622095
"LOC100129408",9.44e-07,3.98e-09,12.68246,11.4125,1.7308884
"RAC2",9.53e-07,4.09e-09,12.656717,11.38635,1.4764488
"GLRX",1.03e-06,4.48e-09,-12.567996,11.29581,-1.8338451
"KIAA1841",1.19e-06,5.26e-09,-12.414715,11.13792,-3.1590097
"C21orf58",1.25e-06,5.62e-09,12.352277,11.07306,1.5254594
"GPR56",1.34e-06,6.1e-09,-12.274653,10.99199,-2.0930562
"MLC1",1.34e-06,6.2e-09,-12.259893,10.97652,-2.2191487
"DCAF12L2",1.41e-06,6.97e-09,12.149859,10.86061,1.8779947
"DPY30",1.41e-06,7.07e-09,-12.137056,10.84706,-1.8560181
"LOC100132071",1.52e-06,7.81e-09,12.043789,10.74792,2.1539648
"COX4I1",1.56e-06,8.19e-09,-11.999593,10.70069,-1.7368698
"GPR146",1.56e-06,8.21e-09,11.997955,10.69894,2.8345026
"RPS7",1.64e-06,8.9e-09,-11.922799,10.61823,-3.0387353
"RPL36AL",1.64e-06,8.97e-09,-11.915823,10.61072,-1.9577788
"IKZF1",1.75e-06,1.01e-08,11.811395,10.49771,1.7413419
"ANK1",1.75e-06,1.01e-08,11.810725,10.49698,2.2175295
"DPM1",1.75e-06,1.02e-08,-11.795929,10.48089,-1.5829564
"ATP5O",1.79e-06,1.06e-08,-11.764232,10.44637,-2.1259508
"TMOD1",2e-06,1.2e-08,11.653224,10.32475,2.114978
"RPS27",2.01e-06,1.23e-08,-11.629404,10.29851,-1.7667622
"BLOC1S1",2.05e-06,1.31e-08,-11.568744,10.23147,-1.9266907
"CCDC7",2.05e-06,1.33e-08,-11.560607,10.22246,-3.3889736
"ID2",2.05e-06,1.33e-08,-11.558078,10.21965,-1.8241084
