"","adj.P.Val","P.Value","t","B","logFC"
"TUBA3E",1.18e-42,3.12e-47,-21.4860504,96.640619,-2.17304548
"CEBPD",9.64e-42,5.1e-46,-20.9529161,93.903921,-2.30803896
"TUBA3C",1.11e-41,8.81e-46,-20.8493442,93.367919,-2.03736009
"ZFP36",1.77e-41,1.88e-45,-20.7065278,92.626502,-2.23953192
"RASD1",1.85e-41,2.45e-45,-20.6562453,92.364826,-3.51433754
"TUBA3D",1.63e-40,2.59e-44,-20.2147745,90.053075,-2.20485644
"CDC42EP4",8.63e-40,1.6e-43,-19.8769451,88.266747,-1.21330281
"SERPINA3",1.75e-38,3.7e-42,-19.2995241,85.179003,-3.56140969
"AXUD1",1.59e-37,3.77e-41,-18.8781705,82.898536,-2.10449451
"S100A9",8.25e-37,2.18e-40,-18.5621038,81.172952,-2.91453694
"MYH6",8.89e-37,2.58e-40,-18.5317199,81.006399,-1.91454691
"FCN3",1.57e-36,4.98e-40,-18.413998,80.359988,-2.03804644
"MT1M",3.08e-36,1.06e-39,-18.2796158,79.619959,-2.2243011
"LYVE1",7.08e-36,2.62e-39,-18.1181654,78.727869,-1.87318992
"MAP3K6",9.02e-36,3.57e-39,-18.0628864,78.421678,-1.1559772
"PRKCD",7.97e-35,3.37e-38,-17.6663435,76.214144,-0.72957472
"CD163",2.34e-34,1.05e-37,-17.4665821,75.094799,-2.1365058
"YPEL2",5.72e-34,2.72e-37,17.3000117,74.157762,1.07245446
"S1PR3",6.55e-34,3.29e-37,-17.2667727,73.97038,-1.00883608
"C1R",7.25e-34,3.83e-37,-17.2399834,73.819262,-1.18222354
"FPR1",7.54e-33,4.18e-36,-16.8245118,71.464806,-1.37062697
"FCER1G",2.33e-32,1.36e-35,-16.6214497,70.306813,-1.49560075
"FKBP5",5.54e-32,3.37e-35,-16.464713,69.409815,-1.93381635
"PIK3IP1",7.09e-32,4.5e-35,16.4149371,69.124377,1.35519962
"AP3M2",9.5e-32,6.28e-35,16.3576932,68.795776,0.83050502
"MYC",9.52e-32,6.54e-35,-16.3507376,68.755823,-1.51073199
"MT1X",1.71e-31,1.22e-34,-16.2442151,68.143309,-2.37195884
"S100A8",2.06e-31,1.52e-34,-16.2059675,67.923081,-2.64836621
"MAFB",6.28e-31,4.81e-34,-16.0092202,66.787739,-1.33877852
"CMTM7",9.85e-31,7.81e-34,-15.9267306,66.310509,-0.7255497
"SLA",1.36e-30,1.13e-33,-15.8643885,65.949368,-0.87737802
"JAK2",1.36e-30,1.15e-33,15.8612848,65.931378,1.21007789
"SCN2B",1.8e-30,1.57e-33,15.8079582,65.622127,1.28629781
"FES",2.19e-30,1.96e-33,-15.7698588,65.401002,-0.77112181
"DYRK1B",2.89e-30,2.67e-33,15.7177089,65.098089,0.60240745
"ZDHHC9",6.37e-30,6.06e-33,-15.57873,64.289493,-1.00684147
"GALK1",6.4e-30,6.25e-33,-15.5733899,64.258385,-0.74436233
"PROS1",6.42e-30,6.45e-33,15.5681679,64.227963,1.4721437
"CHN1",6.8e-30,7.01e-33,15.5540148,64.145496,0.64336027
"NFKBIZ",7.19e-30,7.59e-33,-15.5404969,64.066711,-0.92098396
"C7ORF41",7.25e-30,7.85e-33,15.534851,64.0338,1.30597439
"TIPARP",8.98e-30,9.96e-33,-15.494613,63.799157,-1.30204769
"SLCO4A1",1.2e-29,1.37e-32,-15.441235,63.487646,-1.00128268
"LOC653888",1.5e-29,1.75e-32,-15.399717,63.245157,-1.20753195
"CORO1A",2e-29,2.38e-32,-15.347489,62.939881,-0.79180014
"ALOX5",3.54e-29,4.3e-32,-15.2477306,62.356065,-0.89813255
"CTSC",5.47e-29,6.79e-32,-15.1708545,61.905525,-1.24888444
"SORBS2",5.49e-29,6.97e-32,15.1664914,61.879938,0.82665096
"CD97",7.04e-29,9.11e-32,-15.1213718,61.615238,-0.79442981
"XLKD1",7.2e-29,9.51e-32,-15.1141931,61.573106,-1.16000605
"HS.177532",2.09e-28,2.82e-31,14.931832,60.501259,1.05903486
"STAT3",2.38e-28,3.26e-31,-14.9072143,60.35634,-1.11887177
"SEC14L1",3.37e-28,4.71e-31,-14.8455895,59.993334,-0.52407175
"MT1A",3.69e-28,5.27e-31,-14.8269166,59.883275,-1.54949645
"PIM1",3.93e-28,5.71e-31,-14.8135172,59.80428,-1.3637695
"ARPC1B",6.46e-28,9.56e-31,-14.727293,59.295584,-0.96569673
"IFITM2",9.41e-28,1.42e-30,-14.6614999,58.907005,-1.20818975
"HCK",9.92e-28,1.52e-30,-14.6497923,58.837821,-0.63720581
"EBI2",1.1e-27,1.71e-30,-14.6299161,58.720341,-0.58686946
"WAS",1.2e-27,1.91e-30,-14.6120401,58.614655,-0.93873277
"ITGB2",1.55e-27,2.5e-30,-14.5665337,58.345497,-1.41317828
"SMOC2",1.76e-27,2.88e-30,14.5430865,58.206748,1.48705156
"F13A1",2.26e-27,3.76e-30,-14.4986739,57.943816,-1.57870018
"CD248",2.37e-27,4.01e-30,-14.4878994,57.880005,-0.98348919
"RANGAP1",2.5e-27,4.29e-30,-14.476824,57.814402,-0.9412308
"LCP1",3.02e-27,5.26e-30,-14.4426825,57.612112,-1.41008635
"IFITM3",3.07e-27,5.44e-30,-14.4370959,57.579002,-1.18606531
"SMYD2",4.09e-27,7.35e-30,14.3869663,57.281796,0.86085362
"HCLS1",4.52e-27,8.25e-30,-14.3678936,57.168667,-1.11617452
"SLCO2B1",5.47e-27,1.02e-29,-14.3325753,56.959106,-0.91150625
"IL18R1",5.47e-27,1.03e-29,-14.3314719,56.952558,-0.79062641
"BTG2",6.44e-27,1.22e-29,-14.3021059,56.77824,-1.52099629
"CHRDL2",7.62e-27,1.47e-29,-14.2717257,56.597834,-1.17133655
"MGST1",9.08e-27,1.77e-29,-14.2404361,56.411957,-0.68060702
"C10ORF71",1.32e-26,2.61e-29,14.176035,56.029154,0.8531474
"IRX6",1.43e-26,2.86e-29,14.1610141,55.939826,1.38434376
"INPP1",1.7e-26,3.46e-29,-14.1294722,55.752197,-0.69569656
"IL13RA1",1.96e-26,4.04e-29,-14.1039356,55.600239,-0.83335275
"MGC42367",1.99e-26,4.15e-29,-14.0992891,55.572585,-1.02464719
"HS.19985",2.01e-26,4.26e-29,-14.0949275,55.546625,-0.84378608
"SAP18",2.01e-26,4.31e-29,14.0932169,55.536443,0.63484448
"CHST7",2.13e-26,4.62e-29,-14.0815777,55.467159,-1.07128497
"MFSD10",2.51e-26,5.5e-29,-14.0525289,55.294201,-0.66273093
"BCL6",2.99e-26,6.64e-29,-14.0214007,55.108798,-0.93234362
"LMOD2",6.3e-26,1.42e-28,13.8961208,54.361956,1.28498982
"NFKBIA",6.43e-26,1.46e-28,-13.890717,54.329719,-1.0725341
"TUBB2C",9.48e-26,2.18e-28,-13.824605,53.935164,-0.96144653
"LOC653879",9.94e-26,2.31e-28,-13.8149012,53.877228,-1.13385434
"C1QC",1.34e-25,3.16e-28,-13.7633099,53.569109,-1.33065662
"SLC15A3",1.37e-25,3.28e-28,-13.7570613,53.53178,-0.89432694
"MNS1",1.37e-25,3.28e-28,13.7568918,53.530767,0.47120377
"MT2A",1.42e-25,3.46e-28,-13.7483887,53.479965,-1.74698353
"NNMT",1.51e-25,3.7e-28,-13.7372199,53.41323,-0.90749123
"CYBA",1.54e-25,3.82e-28,-13.7317281,53.380413,-0.98379687
"C1ORF162",1.94e-25,4.93e-28,-13.6898838,53.130306,-1.04252212
"C1QB",1.94e-25,4.93e-28,-13.6897866,53.129725,-1.46862613
"LAPTM5",1.98e-25,5.15e-28,-13.6824238,53.085706,-1.13070379
"DOCK2",1.98e-25,5.17e-28,-13.6818057,53.082011,-0.86968445
"RHBDF2",1.98e-25,5.18e-28,-13.6814602,53.079945,-0.58288311
"ZNF415",2.05e-25,5.41e-28,13.6742729,53.036972,0.58972087
"ZGPAT",2.63e-25,7.02e-28,-13.6312887,52.779905,-0.41744188
"HEG1",2.69e-25,7.25e-28,13.6260389,52.748501,0.67458805
"LRRC8A",2.73e-25,7.43e-28,-13.62208,52.724818,-0.9610473
"CEBPB",2.8e-25,7.69e-28,-13.6163407,52.690483,-1.01241354
"CD14",3.55e-25,9.85e-28,-13.5754792,52.445977,-1.3936196
"C5ORF4",4.28e-25,1.2e-27,13.5431565,52.252499,0.5670466
"FGD2",4.35e-25,1.23e-27,-13.5389773,52.227479,-0.70576743
"CD68",4.51e-25,1.29e-27,-13.5312209,52.18104,-0.93808795
"MBP",5.51e-25,1.59e-27,13.4968713,51.975344,0.96289548
"ZNF627",5.92e-25,1.73e-27,13.4822358,51.887682,0.47000385
"S100A10",5.92e-25,1.74e-27,-13.4818391,51.885306,-1.03559672
"MASP1",6.02e-25,1.78e-27,13.4777312,51.860699,0.82519411
"TKT",6.31e-25,1.88e-27,-13.4685592,51.805754,-1.03925045
"VAMP8",6.42e-25,1.93e-27,-13.4641078,51.779086,-0.93200033
"TSPYL2",6.76e-25,2.05e-27,-13.4542077,51.719772,-0.68760153
"TDRD9",7.35e-25,2.25e-27,-13.4389371,51.628271,-0.72255815
"SRGN",7.53e-25,2.33e-27,-13.4337012,51.596895,-1.20638064
"ALOX5AP",7.9e-25,2.48e-27,-13.4231008,51.533369,-1.38510097
"FRZB",7.9e-25,2.49e-27,13.4228231,51.531704,1.39985548
"IVNS1ABP",8.63e-25,2.74e-27,13.4070206,51.436991,0.78341203
"LILRA5",8.93e-25,2.86e-27,-13.3999558,51.394643,-0.77015232
"C14ORF132",1e-24,3.23e-27,13.3794319,51.271605,1.30366998
"FAM110B",1.03e-24,3.36e-27,13.3733027,51.234858,0.7688272
"SLC12A9",1.08e-24,3.55e-27,-13.3639847,51.178988,-0.60054858
"HAVCR2",1.12e-24,3.7e-27,-13.3572253,51.138456,-1.05198211
"GPR56",1.18e-24,3.94e-27,-13.3469263,51.076695,-0.88499623
"MTCH1",1.19e-24,3.98e-27,-13.3452152,51.066434,-0.50508148
"CCND2",1.36e-24,4.6e-27,13.3214462,50.923876,0.69704607
"ARHGAP4",1.7e-24,5.8e-27,-13.2832417,50.69468,-0.55525038
"CAPN1",1.77e-24,6.09e-27,-13.2752158,50.646523,-0.63387474
"MVP",1.82e-24,6.3e-27,-13.269527,50.612386,-0.80973622
"LYPLAL1",2.01e-24,7e-27,13.2522998,50.509004,0.80354441
"OSR1",2.09e-24,7.34e-27,-13.2445069,50.462233,-1.05381223
"CD209",2.53e-24,8.94e-27,-13.2119882,50.267034,-0.98974888
"SYF2",2.75e-24,9.82e-27,13.1965835,50.174549,0.49922745
"CYP2J2",2.88e-24,1.04e-26,13.1877607,50.121574,0.92483275
"IFI30",3.06e-24,1.11e-26,-13.1769563,50.056696,-0.79741718
"ACE2",3.84e-24,1.4e-26,13.1382006,49.823937,1.82110406
"SORBS1",4.04e-24,1.48e-26,13.1287323,49.767062,0.78698389
"DDIT3",4.04e-24,1.5e-26,13.1274397,49.759298,0.69752619
"LILRB5",4.12e-24,1.54e-26,-13.1229846,49.732535,-0.55586722
"ATPIF1",4.15e-24,1.56e-26,13.1207821,49.719304,0.79072306
"PRICKLE1",4.23e-24,1.6e-26,13.1165745,49.694027,1.03418066
"HES6",4.28e-24,1.63e-26,-13.1134521,49.675268,-0.7542047
"SEMA4B",4.86e-24,1.86e-26,-13.0913458,49.54245,-0.67763068
"M6PRBP1",5.17e-24,2e-26,-13.0800014,49.474283,-1.13023842
"RASSF1",5.24e-24,2.04e-26,-13.0767199,49.454565,-0.54218796
"C8ORF47",5.86e-24,2.29e-26,13.0573352,49.33807,0.60727866
"NKD2",6.03e-24,2.37e-26,-13.0514138,49.302481,-0.80536889
"GPR172A",6.03e-24,2.39e-26,-13.050238,49.295414,-0.75778724
"KIAA1853",6.04e-24,2.41e-26,13.0489118,49.287443,0.78171295
"OSMR",6.62e-24,2.66e-26,-13.0327449,49.190269,-0.62029992
"PUS1",7.37e-24,2.98e-26,-13.0140449,49.077857,-0.57700583
"TUBB",1.26e-23,5.12e-26,-12.9253221,48.54433,-0.8311715
"TCEAL8",1.3e-23,5.32e-26,12.9188189,48.505212,0.45527793
"ZNF187",1.31e-23,5.39e-26,12.9167987,48.49306,0.35062728
"HS.467627",1.72e-23,7.13e-26,12.8708391,48.21656,0.81741469
"ANKMY2",2e-23,8.37e-26,12.8444765,48.057926,0.73087151
"GNA15",2e-23,8.4e-26,-12.8439552,48.054788,-0.64709466
"INTU",2.02e-23,8.55e-26,12.8410515,48.037314,0.46874322
"SELS",2.14e-23,9.1e-26,-12.8307357,47.975233,-0.73088829
"SDSL",2.14e-23,9.17e-26,12.8295861,47.968314,0.77736407
"UCHL5IP",2.29e-23,9.85e-26,-12.8178725,47.897815,-0.40921114
"GATA2",2.75e-23,1.19e-25,-12.7866824,47.710075,-0.49055187
"HMGN2",2.75e-23,1.2e-25,12.7858025,47.704779,0.59501978
"VPS41",2.99e-23,1.31e-25,12.7706012,47.613267,0.41282556
"C5ORF23",3.17e-23,1.4e-25,12.7603275,47.551416,1.23641501
"GRASP",3.65e-23,1.62e-25,-12.7360374,47.405168,-0.61433469
"YPEL1",3.68e-23,1.64e-25,12.7338189,47.39181,0.60677576
"CNDP2",3.83e-23,1.72e-25,-12.7264493,47.347435,-0.507136
"LOC148915",4.42e-23,2e-25,12.7019193,47.199719,0.6963943
"SVIL",4.79e-23,2.18e-25,12.6877619,47.114457,0.60563912
"MAP3K8",5.81e-23,2.66e-25,-12.6550519,46.917442,-0.67090414
"MIDN",7.35e-23,3.38e-25,-12.6156373,46.680009,-0.96982126
"SGK",8.33e-23,3.85e-25,-12.5941589,46.550606,-1.37177374
"RASL11B",1.08e-22,5.04e-25,12.550053,46.284844,1.72416457
"IRX2",1.12e-22,5.25e-25,12.5433189,46.244263,1.00377886
"PDE5A",1.93e-22,9.07e-25,12.4536895,45.704051,0.76594484
"MPP3",2.04e-22,9.66e-25,-12.4433444,45.64169,-0.81316384
"TUBA1B",2.23e-22,1.06e-24,-12.428088,45.549718,-0.69774787
"C20ORF27",2.26e-22,1.08e-24,-12.4251725,45.532142,-0.4794894
"PLCE1",2.54e-22,1.22e-24,12.4048453,45.409594,1.02733242
"CSNK1D",2.91e-22,1.41e-24,-12.3816194,45.269561,-0.55454195
"IMPDH1",3.01e-22,1.47e-24,-12.3751294,45.23043,-0.48713022
"VSIG4",3.21e-22,1.57e-24,-12.3639861,45.163242,-0.89744897
"GFPT2",3.79e-22,1.87e-24,-12.3348169,44.987356,-0.94156681
"FCGR2A",3.79e-22,1.87e-24,-12.3348087,44.987307,-0.67767678
"KIAA0141",3.94e-22,1.96e-24,12.327555,44.943566,0.61170275
"DDIT4",3.94e-22,1.97e-24,-12.3268444,44.939282,-1.3162531
"DCUN1D3",3.94e-22,1.98e-24,-12.3259535,44.933909,-0.6332991
"LOC255783",4.07e-22,2.06e-24,-12.3191832,44.893083,-0.65466918
"LRRC49",4.07e-22,2.06e-24,12.3190238,44.892121,1.05950424
"SLC16A9",4.29e-22,2.19e-24,12.3093518,44.833796,0.90381904
"EGLN2",4.62e-22,2.37e-24,-12.2964146,44.755778,-0.40090615
"PPARG",5.13e-22,2.65e-24,-12.2783548,44.646866,-0.46209046
"PLEK",5.39e-22,2.79e-24,-12.2696494,44.594365,-0.78136572
"DUSP1",5.77e-22,3e-24,-12.2576357,44.521911,-1.54401794
"IRAK3",6.11e-22,3.2e-24,-12.2472696,44.459392,-0.65730869
"ADAP2",6.16e-22,3.24e-24,-12.2451629,44.446686,-0.80810187
"SLC39A1",6.18e-22,3.27e-24,-12.2437861,44.438382,-0.66537169
"FGR",6.28e-22,3.35e-24,-12.2399226,44.415081,-0.73887268
"PLTP",6.28e-22,3.35e-24,-12.239561,44.4129,-1.03681815
"MARCO",6.52e-22,3.5e-24,-12.2325583,44.370664,-0.83039471
"TERF1",6.59e-22,3.55e-24,12.2301147,44.355926,0.42264688
"FERMT3",7.09e-22,3.84e-24,-12.2173601,44.278998,-0.47839867
"HS.554507",8.29e-22,4.51e-24,12.1908855,44.119315,0.54620611
"SLC25A28",8.8e-22,4.81e-24,-12.180417,44.056172,-0.55768188
"C1QTNF1",9.29e-22,5.1e-24,-12.1707098,43.99762,-1.29747583
"TRMT5",9.62e-22,5.31e-24,12.1641505,43.958055,0.65560296
"ARS2",1.05e-21,5.8e-24,-12.1498102,43.871555,-0.42929386
"SLC7A1",1.6e-21,8.94e-24,-12.0789042,43.443834,-1.11346968
"CCDC28A",1.81e-21,1.01e-23,12.0584842,43.320652,0.60869273
"RARRES1",1.81e-21,1.02e-23,-12.057447,43.314395,-1.35269816
"LOC730534",1.89e-21,1.07e-23,12.0497783,43.268134,0.65265905
"SERPINA5",1.97e-21,1.12e-23,-12.0421474,43.2221,-0.83576884
"SFRP1",2.07e-21,1.18e-23,12.0333426,43.168985,1.73011623
"C21ORF34",2.16e-21,1.24e-23,12.0254568,43.121414,0.67868724
"TOMM40",2.29e-21,1.32e-23,-12.0149984,43.058323,-0.63926619
"SLC47A1",2.35e-21,1.36e-23,12.0100571,43.028514,0.66244515
"SMAP2",2.38e-21,1.38e-23,-12.0077397,43.014535,-0.62261482
"BCL3",2.4e-21,1.4e-23,-12.005096,42.998586,-0.67773803
"LTBR",2.68e-21,1.57e-23,-11.9867821,42.888106,-0.8653962
"DUSP23",3.05e-21,1.8e-23,-11.9644683,42.753497,-0.67525014
"TYROBP",3.13e-21,1.86e-23,-11.9593738,42.722764,-1.13968476
"CRYM",3.15e-21,1.87e-23,11.9578325,42.713466,0.99151093
"HOPX",3.56e-21,2.12e-23,-11.9372112,42.589068,-1.50823527
"DUSP26",3.94e-21,2.36e-23,11.9198927,42.484594,0.7188
"BATF3",4.04e-21,2.43e-23,-11.9149187,42.454588,-0.56863392
"PLAUR",4.19e-21,2.54e-23,-11.9080048,42.41288,-0.5739485
"PDIA3P",4.19e-21,2.55e-23,-11.9075784,42.410308,-1.05199889
"RGS4",4.21e-21,2.57e-23,11.9059075,42.400229,1.21952652
"MS4A7",4.31e-21,2.64e-23,-11.9013915,42.372986,-0.76634935
"CCND1",5.2e-21,3.2e-23,11.8701327,42.184423,0.81354316
"LOC644128",5.25e-21,3.25e-23,11.8676548,42.169475,0.52716351
"ICK",5.71e-21,3.54e-23,11.8533775,42.083351,0.45345823
"TUBA1C",6.16e-21,3.84e-23,-11.8401216,42.00339,-0.97828662
"ITGAM",6.51e-21,4.08e-23,-11.8303541,41.944472,-0.56781138
"SNRPB",6.82e-21,4.29e-23,-11.8221139,41.894767,-0.71014662
"DDOST",7.14e-21,4.51e-23,-11.81397,41.845643,-0.86062621
"EDNRA",7.16e-21,4.54e-23,11.8127485,41.838275,0.91151491
"TJP1",7.97e-21,5.07e-23,11.7946694,41.729225,0.5005109
"COL21A1",8.29e-21,5.3e-23,11.7874935,41.685942,1.06736612
"ECGF1",8.51e-21,5.46e-23,-11.7825378,41.656051,-1.27609594
"CAPRIN1",8.63e-21,5.57e-23,11.779461,41.637492,0.42262898
"ERRFI1",9.23e-21,5.98e-23,-11.7678453,41.567431,-0.77385363
"METTL7B",9.23e-21,6e-23,-11.76728,41.564022,-1.35576942
"PLEKHF1",9.54e-21,6.22e-23,-11.7611577,41.527096,-1.14355681
"PHLDB2",1.08e-20,7.07e-23,11.7404103,41.401961,0.76300359
"SH3BGRL3",1.12e-20,7.34e-23,-11.734229,41.36468,-1.09046293
"C19ORF10",1.21e-20,7.99e-23,-11.7203572,41.281018,-1.24273035
"GLA",1.3e-20,8.59e-23,-11.7083964,41.208883,-0.51062561
"MS4A6A",1.31e-20,8.72e-23,-11.7060367,41.194653,-1.01331779
"FLJ20021",1.69e-20,1.13e-22,11.663113,40.935799,0.4253593
"HRASLS",1.78e-20,1.19e-22,11.6547191,40.885182,0.54901157
"CDC42EP2",1.81e-20,1.22e-22,-11.6509823,40.862649,-0.57423536
"EIF4G1",1.95e-20,1.32e-22,-11.6384567,40.78712,-0.52144732
"NCF4",1.98e-20,1.35e-22,-11.6347448,40.764738,-0.32460264
"FRMD5",2.07e-20,1.41e-22,11.6272802,40.719728,0.84333319
"SLC11A1",2.08e-20,1.43e-22,-11.6253598,40.708148,-0.57544124
"OMA1",2.12e-20,1.45e-22,11.6223155,40.689792,0.55871832
"LOC642031",2.15e-20,1.48e-22,-11.618973,40.669638,-0.69050697
"EPB41L5",2.26e-20,1.56e-22,11.6104555,40.618282,0.42279125
"DHX37",2.45e-20,1.7e-22,-11.5964054,40.53357,-0.61144058
"VPS45",2.82e-20,1.97e-22,11.572768,40.391061,0.48335456
"KLF6",3.17e-20,2.22e-22,-11.55273,40.27026,-0.84822683
"SLC2A1",3.19e-20,2.25e-22,-11.5510109,40.259897,-0.7696953
"SEC61A1",3.37e-20,2.38e-22,-11.5418057,40.204406,-0.6762119
"HLTF",3.64e-20,2.58e-22,11.5285509,40.124506,0.50427715
"ZNF20",3.65e-20,2.6e-22,11.5272195,40.11648,0.31011811
"ENO1",3.97e-20,2.84e-22,-11.5127185,40.029073,-0.82281453
"LOC201140",3.97e-20,2.84e-22,-11.5125069,40.027797,-1.45345422
"SLC39A3",3.99e-20,2.87e-22,-11.5110258,40.01887,-0.39413038
"ATP1A2",4.09e-20,2.95e-22,11.5063019,39.990397,1.27397672
"KYNU",4.25e-20,3.08e-22,-11.4993786,39.948668,-0.41263336
"EML3",5.78e-20,4.2e-22,-11.4482939,39.640798,-0.61171238
"LOC158376",6.28e-20,4.58e-22,-11.4342975,39.556457,-0.53427313
"TEAD4",6.96e-20,5.09e-22,-11.4168589,39.451382,-0.85516777
"KLHDC9",7.07e-20,5.19e-22,11.4135959,39.431721,0.7688161
"ATP6V1G2",7.11e-20,5.25e-22,11.4117207,39.420423,0.29518451
"TBXAS1",7.11e-20,5.26e-22,-11.4114447,39.41876,-0.62154582
"FBXO38",7.35e-20,5.46e-22,11.4054285,39.382512,0.37769853
"TMEM189",7.5e-20,5.59e-22,-11.4014579,39.35859,-0.46595717
"SLC1A5",7.5e-20,5.61e-22,-11.4008077,39.354673,-0.51820311
"GATM",7.5e-20,5.62e-22,11.4005125,39.352894,1.18507887
"TNFRSF1A",8.01e-20,6.03e-22,-11.3891245,39.284285,-0.75144256
"SERPINH1",8.02e-20,6.06e-22,-11.388247,39.278999,-1.15471685
"ELL2",8.04e-20,6.1e-22,-11.3872561,39.273029,-1.12765235
"ARPC3",8.34e-20,6.35e-22,-11.3807017,39.233543,-1.40689578
"LOC387763",9.47e-20,7.23e-22,-11.3593287,39.104793,-1.06245875
"COL6A2",1.08e-19,8.29e-22,-11.3369193,38.969814,-0.7120409
"HYAL2",1.09e-19,8.37e-22,-11.3354261,38.96082,-0.59336157
"ATP1A1",1.1e-19,8.52e-22,-11.3323883,38.942524,-0.91209699
"GSDMD",1.3e-19,1.01e-21,-11.304746,38.77605,-0.61556182
"ORC3L",1.32e-19,1.02e-21,11.3025369,38.762747,0.41017041
"RASSF9",1.37e-19,1.07e-21,11.2948708,38.716584,0.45034422
"CRBN",1.38e-19,1.08e-21,11.2942016,38.712554,0.52672757
"LCN6",1.38e-19,1.08e-21,-11.2931853,38.706434,-0.90930678
"CD53",1.88e-19,1.48e-21,-11.2414706,38.395073,-0.3518052
"ACVR1B",1.92e-19,1.52e-21,-11.2374323,38.370763,-0.31383101
"ZNF787",1.94e-19,1.54e-21,-11.2355399,38.359371,-0.61741571
"ZYX",2.3e-19,1.83e-21,-11.2071322,38.188381,-0.81995149
"HM13",2.53e-19,2.02e-21,-11.1906747,38.089334,-0.3080637
"RGS19",2.63e-19,2.1e-21,-11.1842577,38.050718,-0.48953059
"RDH10",2.84e-19,2.28e-21,-11.170992,37.970891,-0.61599311
"C3",2.85e-19,2.31e-21,-11.1689849,37.958814,-0.41811648
"HS.561526",2.85e-19,2.31e-21,11.1689669,37.958706,0.54108119
"KLHL12",2.92e-19,2.37e-21,11.164406,37.931262,0.38806161
"C5ORF41",2.96e-19,2.41e-21,11.1617976,37.915568,0.60177663
"FZD2",3.09e-19,2.52e-21,11.1543271,37.87062,0.80247697
"LOC729843",3.17e-19,2.59e-21,11.1497648,37.84317,0.55055009
"FKBP2",3.33e-19,2.73e-21,-11.1411202,37.791162,-0.68303089
"CYBB",3.34e-19,2.75e-21,-11.1402091,37.785681,-0.7699016
"PARVG",3.36e-19,2.78e-21,-11.1386282,37.77617,-0.47413453
"HS.408455",3.4e-19,2.82e-21,11.1360372,37.760583,0.51506974
"ENDOGL1",3.46e-19,2.88e-21,-11.1328262,37.741266,-0.85656541
"SLC37A4",3.68e-19,3.08e-21,-11.1217728,37.674774,-0.44351829
"PTPN11",3.7e-19,3.1e-21,11.1204437,37.666779,0.59830606
"DIO2",3.75e-19,3.15e-21,11.1180465,37.65236,0.90243037
"ARHGAP24",4.01e-19,3.38e-21,11.1062266,37.581264,0.55305226
"NDUFA4L2",4.07e-19,3.44e-21,-11.103456,37.5646,-0.67036242
"ASPSCR1",4.29e-19,3.64e-21,-11.0941288,37.508503,-0.38210988
"PGD",4.35e-19,3.7e-21,-11.0913369,37.491712,-0.47171617
"C19ORF51",4.53e-19,3.86e-21,11.0843111,37.44946,0.4836829
"ATP6V0C",4.53e-19,3.88e-21,-11.0837166,37.445885,-0.41069345
"BEST1",4.6e-19,3.95e-21,-11.0806336,37.427345,-0.36644029
"MERTK",5e-19,4.31e-21,-11.0665662,37.342754,-0.5031292
"GPR4",5.05e-19,4.36e-21,-11.0644559,37.330065,-0.82936927
"PAFAH2",5.21e-19,4.52e-21,11.0586382,37.295085,0.5150531
"TMBIM1",5.27e-19,4.58e-21,-11.0563562,37.281365,-0.67239057
"GRM1",5.63e-19,4.91e-21,11.0451171,37.213793,0.80894777
"CTSB",5.8e-19,5.07e-21,-11.0396787,37.181098,-0.5746601
"SYNPO2L",5.98e-19,5.25e-21,11.034024,37.147104,0.89738719
"TGFBR2",6.64e-19,5.85e-21,-11.0163479,37.040852,-0.53690627
"CHSY1",7.01e-19,6.19e-21,-11.0070216,36.984797,-0.63798806
"NLGN2",7.11e-19,6.29e-21,-11.0043129,36.968517,-0.47660876
"HEPH",7.14e-19,6.34e-21,11.0031017,36.961237,0.60632964
"AGXT2L1",7.26e-19,6.46e-21,-10.999824,36.941539,-1.16936905
"TNKS1BP1",7.39e-19,6.6e-21,-10.9962963,36.920338,-0.47106124
"ALG3",7.54e-19,6.76e-21,-10.9925426,36.89778,-0.44290921
"LRRC1",7.72e-19,6.93e-21,10.9882761,36.872141,0.38394959
"NUP62CL",8.12e-19,7.32e-21,10.979361,36.818569,0.63259391
"HTRA1",8.85e-19,8e-21,10.9648392,36.731315,0.85114527
"RBPMS2",9.2e-19,8.34e-21,-10.957968,36.690032,-0.52513679
"TRABD",9.86e-19,8.96e-21,-10.9461046,36.618763,-0.43780718
"DCLK1",1.06e-18,9.65e-21,-10.9339854,36.545964,-0.42450649
"MKNK2",1.09e-18,9.96e-21,-10.928733,36.514416,-0.5721077
"FKBP11",1.11e-18,1.02e-20,-10.9252178,36.493303,-0.85357961
"COL16A1",1.14e-18,1.05e-20,10.9208378,36.466996,0.83553673
"NAP1L3",1.18e-18,1.09e-20,10.9144382,36.428562,0.78406999
"RAB28",1.23e-18,1.13e-20,10.9075694,36.387312,0.51770943
"KIAA1191",1.33e-18,1.23e-20,10.8939936,36.305791,0.41509509
"DARC",1.34e-18,1.25e-20,-10.8916047,36.291447,-1.01315553
"MME",1.53e-18,1.43e-20,10.8693734,36.157976,0.39351929
"MAPK13",1.55e-18,1.45e-20,-10.8665281,36.140895,-0.42661037
"C21ORF51",1.61e-18,1.51e-20,10.8601581,36.102657,0.47272197
"TMBIM6",1.61e-18,1.51e-20,-10.8598203,36.10063,-0.47104215
"NBPF20",1.66e-18,1.56e-20,-10.8544811,36.068581,-1.05681739
