"","adj.P.Val","P.Value","t","B","logFC"
"ANXA2P1",0.000421,5.19e-05,-4.1693217,1.081364,-0.48834867
"ZCWPW1",0.000422,5.21e-05,4.1684753,1.078208,0.19747218
"HS.127310",0.000423,5.22e-05,-4.1680795,1.076733,-0.22257446
"NCOA2",0.000424,5.23e-05,4.1673465,1.074001,0.17494276
"OAZ1",0.000424,5.23e-05,-4.1673392,1.073974,-0.13480971
"HS.568148",0.000425,5.25e-05,4.1666738,1.071494,0.27473167
"R3HDM2",0.000425,5.25e-05,4.1666003,1.07122,0.1630128
"PPP1R16B",0.000427,5.28e-05,4.1653778,1.066665,0.25901001
"ZSWIM5",0.000428,5.29e-05,4.1644935,1.063371,0.13698598
"BEXL1",0.000428,5.29e-05,4.1644699,1.063283,0.26975831
"CLEC7A",0.000429,5.31e-05,-4.1637789,1.060709,-0.06920777
"CDGAP",0.000433,5.36e-05,-4.1613051,1.051499,-0.20553749
"CPXM1",0.000436,5.39e-05,-4.1597045,1.045541,-0.1384452
"KIF1A",0.000437,5.41e-05,4.159037,1.043057,0.33107375
"LCMT2",0.000437,5.41e-05,4.1588546,1.042379,0.17248677
"RAB7A",0.000438,5.43e-05,4.1581917,1.039912,0.17742241
"TCEAL2",0.000439,5.43e-05,4.1578186,1.038524,0.25613199
"HS.573486",0.000439,5.44e-05,-4.1575841,1.037652,-0.11119633
"COL5A3",0.000439,5.44e-05,-4.1575724,1.037608,-0.18714823
"PSMD2",0.000439,5.44e-05,-4.1574872,1.037291,-0.21668123
"UTX",0.00044,5.46e-05,4.1565953,1.033974,0.205333
"LOC728153",0.000442,5.48e-05,-4.1558371,1.031154,-0.15538635
"NXN",0.000443,5.49e-05,-4.1551428,1.028572,-0.18413001
"PMP22",0.000446,5.53e-05,-4.1532845,1.021664,-0.20239181
"NOL14",0.000447,5.55e-05,-4.1523565,1.018215,-0.17810643
"SNORD46",0.000448,5.57e-05,-4.1516405,1.015554,-0.14952637
"LOC648984",0.000449,5.57e-05,-4.1514132,1.01471,-0.15399897
"C15ORF57",0.00045,5.58e-05,4.15087,1.012691,0.23941266
"IFT81",0.00045,5.59e-05,4.1505932,1.011663,0.08619518
"C1ORF122",0.000452,5.61e-05,4.1496697,1.008232,0.21512475
"ESRRA",0.000452,5.62e-05,-4.1492997,1.006858,-0.19368741
"CWF19L2",0.000453,5.63e-05,4.1489519,1.005566,0.16178347
"POLR2L",0.000453,5.63e-05,4.148669,1.004516,0.19940615
"NAPEPLD",0.000454,5.64e-05,4.1482142,1.002827,0.19459396
"MEGF9",0.000457,5.68e-05,-4.1464269,0.996191,-0.1041508
"N4BP2L1",0.000458,5.69e-05,4.1459149,0.994291,0.11552056
"BXDC1",0.000459,5.71e-05,-4.1450823,0.991201,-0.26166898
"SLC6A18",0.000462,5.74e-05,4.1435977,0.985692,0.13075763
"KIAA0391",0.000463,5.76e-05,4.1427454,0.98253,0.15085724
"FOSB",0.000463,5.76e-05,-4.1427368,0.982498,-0.59172722
"ZMYM1",0.000463,5.77e-05,4.142604,0.982005,0.15809686
"PCNX",0.000464,5.78e-05,-4.1419399,0.979542,-0.15904661
"SYNJ2",0.000468,5.83e-05,4.140008,0.972378,0.15157689
"ALDH3B1",0.000468,5.83e-05,4.1399338,0.972103,0.09212546
"TBCC",0.000471,5.87e-05,4.1381542,0.965506,0.17974164
"TCEB1",0.000473,5.9e-05,-4.1369,0.960859,-0.21991809
"PI4K2B",0.000474,5.91e-05,-4.1364607,0.959231,-0.10831379
"TRIM68",0.000475,5.92e-05,4.1359059,0.957176,0.13402493
"HS.232744",0.000477,5.95e-05,4.1344217,0.951678,0.10206843
"BRPF1",0.000478,5.96e-05,-4.1341397,0.950633,-0.14536479
"CSTF3",0.000478,5.96e-05,4.1340467,0.950289,0.11110127
"CENTA1",0.000478,5.97e-05,4.133787,0.949327,0.25236753
"LOC401115",0.000478,5.97e-05,-4.1336642,0.948873,-0.385171
